"","date","city","state","dead","injured","total","description","year","quarter","month","day","date2","weekday","lat","lng"
"16",2024-11-08,"Lynchburg","Virginia",0,5,5,"A shooting on the patio of a restaurant in the Sandusky neighborhood wounded five.",2024,4,"Nov",8,"Nov 8","Fri",37.4003,-79.1909
"17",2024-11-08,"Mount Joy & Dauphin County","Pennsylvania",3,3,6,"A man entered the apartment of a woman who had a restraining order against him and opened fire, striking four family members of the woman, one of whom died. The man then kidnapped the woman and responding officers engaged in a high-speed pursuit with him into Dauphin County where he was stopped with a PIT maneuver by Pennsylvania State Police on Route 147. After being stopped, the man opened fire on police who returned fire and fatally shot him. The kidnapped woman was found dead inside the man's car, but it is unclear who shot her.",2024,4,"Nov",8,"Nov 8","Fri",NA,NA
"18",2024-11-07,"Duluth","Minnesota",5,0,5,"A man went to his ex-partner's home in the Cody neighborhood and fatally shot her and their son. The man then returned to his home in the Denfield neighborhood and fatally shot his wife and their son before committing suicide.",2024,4,"Nov",7,"Nov 7","Thu",46.7756,-92.1393
"19",2024-11-07,"Pittsburgh","Pennsylvania",0,4,4,"Three people were shot on the porch of a home in the Northview Heights neighborhood in the North Side. A fourth victim, a man, was found inside a vehicle by responding officers suffering a gunshot wound after he crashed in East Allegheny.",2024,4,"Nov",7,"Nov 7","Thu",40.4397,-79.9763
"20",2024-11-03,"Stillwater","Oklahoma",0,4,4,"A shooting that disrupted a homecoming party injured four.",2024,4,"Nov",3,"Nov 3","Sun",36.1317,-97.0742
"21",2024-11-03,"Summit View","Washington",1,3,4,"Authorities began receiving calls about a shooting at a house party shortly after midnight and responding officers found a man suffering a mortal gunshot wound on the ground outside a car crashed in a ditch near the party. Later, three other men arrived at hospitals with gunshot wounds.",2024,4,"Nov",3,"Nov 3","Sun",47.1343,-122.3467
"22",2024-11-03,"Detroit","Michigan",2,4,6,"Two people were killed and four others were injured in the Claytown neighborhood in the city's west side.",2024,4,"Nov",3,"Nov 3","Sun",42.3834,-83.1024
"23",2024-11-02,"Cecil County","Maryland",2,2,4,"Two people were killed and two others were injured in an early morning shooting north of Elkton.",2024,4,"Nov",2,"Nov 2","Sat",NA,NA
"24",2024-11-02,"Reno","Nevada",1,3,4,"One person was killed and three others were injured outside of a tavern in Midtown Reno.",2024,4,"Nov",2,"Nov 2","Sat",39.5497,-119.8483
"25",2024-11-01,"Northglenn","Colorado",3,3,6,"Three people were killed and three others were injured when a shooting broke out during a Halloween house party.",2024,4,"Nov",1,"Nov 1","Fri",39.9108,-104.9783
"26",2024-11-01,"New Haven","Connecticut",0,4,4,"Four people, including two teenagers, were injured in a shooting in Downtown New Haven in which counterfeit bills were found strewn around the scene of the attack.",2024,4,"Nov",1,"Nov 1","Fri",41.3113,-72.9246
"27",2024-11-01,"Orlando","Florida",2,7,9,"2024 Orlando Halloween shooting: Two men were killed and seven others were wounded when a suspect, a 17-year-old boy, opened fire in Downtown Orlando during Halloween festivities. One woman was hospitalized after she was trampled by people fleeing the shooting.",2024,4,"Nov",1,"Nov 1","Fri",28.4773,-81.337
"28",2024-10-31,"Wilmington","Delaware",1,3,4,"A man was killed and three other men were injured in a shooting in northeastern Wilmington.",2024,4,"Oct",31,"Oct 31","Thu",39.7415,-75.5416
"29",2024-10-30,"Pasco County","Florida",0,4,4,"Four people were injured after a fight between two neighbors escalated into a shooting north of Zephyrhills.",2024,4,"Oct",30,"Oct 30","Wed",NA,NA
"30",2024-10-28,"Memphis","Tennessee",0,5,5,"Five men were injured when a man opened fire at an apartment complex in the southeast side.",2024,4,"Oct",28,"Oct 28","Mon",35.1087,-89.9663
"31",2024-10-27,"Clarksdale","Mississippi",1,3,4,"A man was killed and three others were injured in a shooting during the evening.",2024,4,"Oct",27,"Oct 27","Sun",34.1933,-90.5693
"32",2024-10-27,"Kalamazoo","Michigan",0,6,6,"Six people were shot at a former laundromat being used to host a party after an argument broke out. One of the victims returned fire.",2024,4,"Oct",27,"Oct 27","Sun",42.2749,-85.5882
"33",2024-10-27,"Bella Vista","California",1,5,6,"A teenager was killed and five others were injured in a shooting at a Halloween house party.",2024,4,"Oct",27,"Oct 27","Sun",40.6427,-122.246
"34",2024-10-27,"Corpus Christi","Texas",2,2,4,"Two people were killed and two others were injured after a fight in a parking lot escalated into a shooting in the Southside neighborhood.",2024,4,"Oct",27,"Oct 27","Sun",27.7254,-97.3767
"35",2024-10-27,"Corpus Christi","Texas",0,5,5,"A fight at a party escalated into a shooting that wounded five men, including two teenagers.",2024,4,"Oct",27,"Oct 27","Sun",27.7254,-97.3767
"36",2024-10-26,"Union Springs","Alabama",2,3,5,"Two teenagers were killed and three others were injured in an overnight shooting.",2024,4,"Oct",26,"Oct 26","Sat",32.1395,-85.7141
"37",2024-10-26,"Durham","North Carolina",0,4,4,"A shooting which injured no one on the North Carolina Central University campus during a homecoming celebration led to a lockdown and a sweep of the campus by police officers. During the sweep, another shooting happened on campus, unrelated to the first shooting, in which four people, including one student, were injured.",2024,4,"Oct",26,"Oct 26","Sat",35.9792,-78.9022
"38",2024-10-26,"Fresno","California",0,6,6,"Six men were shot in the Mural District of Downtown Fresno.",2024,4,"Oct",26,"Oct 26","Sat",36.783,-119.7939
"39",2024-10-26,"McKees Rocks","Pennsylvania",1,3,4,"A man was killed and three others were injured when at least two people opened fire.",2024,4,"Oct",26,"Oct 26","Sat",40.4688,-80.063
"40",2024-10-24,"Waco","Texas",0,4,4,"A late night shooting injured four people in the Brook Oaks neighborhood.",2024,4,"Oct",24,"Oct 24","Thu",31.5599,-97.1882
"41",2024-10-23,"Montgomery","Alabama",1,4,5,"Five people, including two children, were injured in a shooting at an apartment complex in southeast Montgomery. One of the wounded died six days later.",2024,4,"Oct",23,"Oct 23","Wed",32.3482,-86.2668
"42",2024-10-21,"King County","Washington",5,1,6,"A 15-year-old boy fatally shot three of his siblings and his parents at their home west of Snoqualmie. One of his sisters survived by playing dead after being shot before escaping through a window.",2024,4,"Oct",21,"Oct 21","Mon",NA,NA
"43",2024-10-20,"Jackson","Tennessee",1,8,9,"One person was killed and eight others were injured in a shooting at a party.",2024,4,"Oct",20,"Oct 20","Sun",35.6538,-88.8354
"44",2024-10-20,"Baton Rouge","Louisiana",1,5,6,"A shooting in a parking lot of a nightclub hosting a concert killed a man and injured five others.",2024,4,"Oct",20,"Oct 20","Sun",30.442,-91.1311
"45",2024-10-19,"Fort Wayne","Indiana",1,9,10,"Nine people, mostly teenagers, were injured when a teenager opened fire at a high school party after being refused entry. One of the injured returned fire, killing the shooter.",2024,4,"Oct",19,"Oct 19","Sat",41.0888,-85.1436
"46",2024-10-19,"Albany","Georgia",1,4,5,"A teenager was killed and four others, including a teenage girl, were injured in a shooting on the campus of Albany State University during a homecoming celebration.",2024,4,"Oct",19,"Oct 19","Sat",31.5776,-84.1762
"47",2024-10-19,"Holmes County","Mississippi",3,8,11,"During a celebration at an outdoor trail north of Lexington following a high school football game, an argument between two young men escalated, killing three, including two teenagers, and injuring eight others.",2024,4,"Oct",19,"Oct 19","Sat",NA,NA
"48",2024-10-19,"Philadelphia","Pennsylvania",0,7,7,"An argument at an 'Instagram' party escalated into a shooting that left seven people injured, including a teenage girl, near Fotterall Square in the Hartranft neighborhood in the city's north side.",2024,4,"Oct",19,"Oct 19","Sat",40.0077,-75.1339
"49",2024-10-14,"Detroit","Michigan",1,3,4,"An argument among a group of men in the MorningSide neighborhood on the city's east side escalated into a shooting that killed one and injured three others.",2024,4,"Oct",14,"Oct 14","Mon",42.3834,-83.1024
"50",2024-10-12,"Elbert County","Georgia",1,7,8,"A teenager was killed and seven others, mostly other teenagers, were injured in a shooting at a nightclub near Elberton.",2024,4,"Oct",12,"Oct 12","Sat",NA,NA
"51",2024-10-12,"East Cleveland","Ohio",1,4,5,"One person was killed and four others were injured after an altercation at an unauthorized bar escalated.",2024,4,"Oct",12,"Oct 12","Sat",41.5317,-81.5794
"52",2024-10-12,"Nashville","Tennessee",1,9,10,"One person was killed and nine others were injured when two groups exchanged gunfire near Tennessee State University's homecoming game.",2024,4,"Oct",12,"Oct 12","Sat",36.1715,-86.7842
"53",2024-10-12,"Oklahoma City","Oklahoma",1,14,15,"An argument at a Halloween party that escalated into a shooting killed a person and wounded fourteen others in the city's southwest side.",2024,4,"Oct",12,"Oct 12","Sat",35.4676,-97.5136
"54",2024-10-11,"Newberry","South Carolina",0,4,4,"Four people were injured in a shooting at a private party.",2024,4,"Oct",11,"Oct 11","Fri",34.2813,-81.601
"55",2024-10-09,"Kansas City","Missouri",0,5,5,"Four adult men and one teenage male were shot in the Westport area.",2024,4,"Oct",9,"Oct 9","Wed",39.1238,-94.5541
"56",2024-10-06,"Fort Worth","Texas",1,4,5,"A teenager was killed in a shooting in the North Side neighborhood while out celebrating his birthday. Four others were injured.",2024,4,"Oct",6,"Oct 6","Sun",32.7817,-97.3474
"57",2024-10-05,"Oklahoma City","Oklahoma",0,4,4,"An argument that escalated into a shooting injured four people in the Bricktown area of Downtown Oklahoma City.",2024,4,"Oct",5,"Oct 5","Sat",35.4676,-97.5136
"58",2024-10-04,"Redding","California",2,3,5,"Two men were killed and three others were injured in a shooting at a shopping center overnight in the Westwood neighborhood.",2024,4,"Oct",4,"Oct 4","Fri",40.5698,-122.365
"59",2024-09-29,"Houston","Texas",0,4,4,"Four people, including a security guard, were injured when a fight escalated into a shooting at a nightclub in the Briarmeadow neighborhood.",2024,3,"Sep",29,"Sep 29","Sun",29.786,-95.3885
"60",2024-09-29,"Gresham Park","Georgia",1,3,4,"An apparent dispute over a choice in music led to an attempted robbery and a shooting that killed a man and injured three other men.",2024,3,"Sep",29,"Sep 29","Sun",33.7053,-84.3155
"61",2024-09-29,"Danville","Virginia",1,3,4,"A man was killed and three others were injured in an early morning shooting at a restaurant.",2024,3,"Sep",29,"Sep 29","Sun",36.5831,-79.4088
"62",2024-09-28,"Henderson","North Carolina",0,5,5,"A fight during a party at a venue escalated into a shooting when two people opened fire on each other, striking five.",2024,3,"Sep",28,"Sep 28","Sat",36.3256,-78.4151
"63",2024-09-28,"Washington","District of Columbia",1,3,4,"A man was killed and three others were injured in the Woodland neighborhood of Southeast DC.",2024,3,"Sep",28,"Sep 28","Sat",38.9047,-77.0163
"64",2024-09-27,"Merrydale","Louisiana",3,2,5,"A dispute led to two teenagers opening fire outside an apartment complex, killing three people. One of the victims returned fire and wounded both suspects.",2024,3,"Sep",27,"Sep 27","Fri",30.4998,-91.1081
"65",2024-09-27,"Shreveport","Louisiana",0,4,4,"A man opened fire with a rifle at a gathering at an apartment complex in the Mooretown neighborhood, wounding four, including a baby.",2024,3,"Sep",27,"Sep 27","Fri",32.4653,-93.7955
"66",2024-09-27,"Spartanburg County","South Carolina",3,1,4,"Four people were shot, three fatally, over a dispute over who had the rights to hunt on a particular piece of land south of Woodruff.",2024,3,"Sep",27,"Sep 27","Fri",NA,NA
"67",2024-09-26,"Chicago","Illinois",0,4,4,"Multiple shooters from a vehicle opened fire at a group of men walking, wounding four near a music studio in the Irving Park neighborhood on the northwest side.",2024,3,"Sep",26,"Sep 26","Thu",41.8375,-87.6866
"68",2024-09-25,"Los Angeles","California",0,6,6,"Three people opened fire in the Vermont Knolls neighborhood of South Los Angeles, wounding six.",2024,3,"Sep",25,"Sep 25","Wed",34.1141,-118.4068
"69",2024-09-21,"Chicago","Illinois",1,6,7,"During a prayer vigil at a home, a person pulled up in their vehicle in front of the residence and then opened fire, killing a man and injuring six others in the Little Village neighborhood on the city's west side.",2024,3,"Sep",21,"Sep 21","Sat",41.8375,-87.6866
"70",2024-09-21,"Birmingham","Alabama",4,17,21,"September 2024 Birmingham shooting: Four people were killed and seventeen others were wounded when multiple people drove up to a hookah bar and exited their vehicles to open fire on a line of queued people in what is suspected to be a murder-for-hire motivated attack.",2024,3,"Sep",21,"Sep 21","Sat",33.5279,-86.7971
"71",2024-09-21,"New York City","New York",0,6,6,"Six people were shot near the border of the Greenpoint and East Williamsburg neighborhoods in Brooklyn.",2024,3,"Sep",21,"Sep 21","Sat",NA,NA
"72",2024-09-21,"Minneapolis","Minnesota",2,3,5,"Two men were killed and three others, including two teenage girls, were injured in a shooting following a fight in the Downtown West area.",2024,3,"Sep",21,"Sep 21","Sat",44.9635,-93.2678
"73",2024-09-20,"Philadelphia","Pennsylvania",1,3,4,"One person was killed and three others were injured in the Elmwood Park neighborhood on the southwest side.",2024,3,"Sep",20,"Sep 20","Fri",40.0077,-75.1339
"74",2024-09-20,"Phoenix","Arizona",1,3,4,"A teenage boy was killed and three others, including two other teenagers, were wounded in the area between the Garfield and Eastlake Park neighborhoods of Central Phoenix.",2024,3,"Sep",20,"Sep 20","Fri",33.5722,-112.0892
"75",2024-09-18,"Minneapolis","Minnesota",2,3,5,"Two people were killed and three injured in a series of shootings at homeless camps. A Native Mob member was arrested for the shootings.",2024,3,"Sep",18,"Sep 18","Wed",44.9635,-93.2678
"76",2024-09-18,"St. Louis","Missouri",3,1,4,"An exchange of fire between two people in the Academy neighborhood in North St. Louis killed three people and wounded one other person.",2024,3,"Sep",18,"Sep 18","Wed",38.6359,-90.2451
"77",2024-09-16,"Chicago","Illinois",0,4,4,"Four people, including a 13-year-old girl, were wounded when shots were fired into a fitness studio in the Back of the Yards neighborhood on the city's south side.",2024,3,"Sep",16,"Sep 16","Mon",41.8375,-87.6866
"78",2024-09-15,"St. Louis County","Missouri",0,4,4,"Four men were shot in a neighborhood north of Florissant.",2024,3,"Sep",15,"Sep 15","Sun",NA,NA
"79",2024-09-15,"New York City","New York",0,4,4,"Several NYPD officers fired shots into a crowd at an allegedly knife-wielding fare evader at the Sutter Avenue station in Brooklyn, striking the suspect, one officer, and two bystanders. Footage later revealed the fare evader was standing still with his arms by his side when police opened fire.",2024,3,"Sep",15,"Sep 15","Sun",NA,NA
"80",2024-09-14,"Selma","Alabama",0,4,4,"Four people were wounded on the city's east side.",2024,3,"Sep",14,"Sep 14","Sat",32.4166,-87.0336
"81",2024-09-14,"Louisville","Kentucky",0,4,4,"Four men were shot at a gas station in the Portland neighborhood on the city's northeast side.",2024,3,"Sep",14,"Sep 14","Sat",38.1663,-85.6485
"82",2024-09-14,"Houston","Texas",3,8,11,"A drive-by shooting during a block party in the Houston Gardens neighborhood on the city's northeast side killed three and injured eight during the early morning hours.",2024,3,"Sep",14,"Sep 14","Sat",29.786,-95.3885
"83",2024-09-13,"Alexandria","Louisiana",2,2,4,"A man shot three relatives, killing one, before taking his own life at the nail salon he owned.",2024,3,"Sep",13,"Sep 13","Fri",31.2923,-92.4702
"84",2024-09-13,"Nashville","Tennessee",3,1,4,"Three men were fatally shot at a home in the Colemont neighborhood. A bicyclist who was riding by at the time of the killings was shot in the hip by a stray bullet.",2024,3,"Sep",13,"Sep 13","Fri",36.1715,-86.7842
"85",2024-09-12,"Cleveland","Ohio",2,2,4,"A man arrived at a home in the Old Brooklyn neighborhood and began arguing with a woman who he fatally shot before injuring two others. The man then fled the scene and was chased by police before he committed suicide.",2024,3,"Sep",12,"Sep 12","Thu",41.4764,-81.6805
"86",2024-09-12,"Suffolk","Virginia",2,3,5,"Two men were killed and three others were injured at a business.",2024,3,"Sep",12,"Sep 12","Thu",36.6953,-76.6398
"87",2024-09-07,"Amarillo","Texas",4,0,4,"A man killed his wife and two children before turning the gun on himself.",2024,3,"Sep",7,"Sep 7","Sat",35.1984,-101.8316
"88",2024-09-07,"Miami Gardens","Florida",0,5,5,"An argument between two people at a fraternity center for Florida Memorial University escalated into a shooting that wounded five.",2024,3,"Sep",7,"Sep 7","Sat",25.9433,-80.2426
"89",2024-09-07,"Ellport","Pennsylvania",1,4,5,"A man returned to a bar after being asked to leave and opened fire before driving down the road and firing into several other homes and businesses before he was arrested. One woman was killed and four others were injured.",2024,3,"Sep",7,"Sep 7","Sat",40.8619,-80.2625
"90",2024-09-07,"Laurel County","Kentucky",1,5,6,"Interstate 75 Kentucky shooting: A man opened fire on the northbound and southbound lanes of Interstate 75 near exit 49 northwest of London from a cliff ledge, striking twelve vehicles and wounding five people, before fleeing the scene and prompting a manhunt and causing multiple schools, businesses, and churches to close in the county and surrounding counties. Three others were injured as a result of vehicular accidents caused by the attack. Police said they found the suspect dead close by on September 18.",2024,3,"Sep",7,"Sep 7","Sat",NA,NA
"91",2024-09-06,"Washington","District of Columbia",0,5,5,"Five people were shot in the Washington Highlands neighborhood of Southeast DC.",2024,3,"Sep",6,"Sep 6","Fri",38.9047,-77.0163
"92",2024-09-05,"Saraland","Alabama",0,4,4,"At least two people driving on Interstate 65 in Saraland opened fire on each other, resulting in three people being wounded in one vehicle and a fourth being injured in the other.",2024,3,"Sep",5,"Sep 5","Thu",30.8479,-88.1004
"93",2024-09-05,"Milwaukee","Wisconsin",0,4,4,"Three police officers were shot and injured attempting trying to serve a warrant at an apartment building near Timmerman Airport. The suspect, who was also shot, was later arrested.",2024,3,"Sep",5,"Sep 5","Thu",43.0642,-87.9675
"94",2024-09-04,"Barrow County","Georgia",4,7,11,"2024 Apalachee High School shooting: A student opened fire at Apalachee High School, located southwest of Winder, killing two students and two teachers, and wounding six other students and another teacher. Two other students sustained non-gunshot injuries. The shooter surrendered immediately upon being confronted by responding police. He was charged with four counts of felony murder. The father, who gave him the weapon, was charged with four counts of involuntary manslaughter, two counts of second degree murder, and eight counts of cruelty to children.",2024,3,"Sep",4,"Sep 4","Wed",NA,NA
"95",2024-09-03,"West Haven","Utah",4,0,4,"A woman and her three children were found dead inside a vehicle after police responded to a report of a suspected homicide near the house. Officials later stated the woman had killed the three children and herself.",2024,3,"Sep",3,"Sep 3","Tue",41.2083,-112.0541
"96",2024-09-02,"Newark","New Jersey",0,4,4,"A man stole a car from East Orange and then drove to the Clinton Hill neighborhood of Newark where he opened fire, striking four people. The stolen vehicle was later found on fire in the south part of the neighborhood.",2024,3,"Sep",2,"Sep 2","Mon",40.7245,-74.1725
"97",2024-09-02,"Bessemer","Alabama",0,4,4,"A shooting during a candlelight vigil for a fatal shooting that killed three men at a Citgo gas station injured four people.",2024,3,"Sep",2,"Sep 2","Mon",33.3712,-86.9728
"98",2024-09-02,"Seattle , Federal Way, Tukwila, & Fife","Washington",0,5,5,"A man went on a shooting spree along Interstate 5 across King and Pierce counties, wounding five in six different shooting attacks in a two and a half hour timespan.",2024,3,"Sep",2,"Sep 2","Mon",NA,NA
"99",2024-09-02,"Birmingham","Alabama",1,3,4,"One person was killed and three others were injured when someone broke down the door of the apartment they were playing cards in and opened fire in the Titusville neighborhood. The attack was believed to be robbery-motivated.",2024,3,"Sep",2,"Sep 2","Mon",33.5279,-86.7971
"100",2024-09-02,"New York City","New York",1,4,5,"During the annual West Indian Day Parade, a dispute escalated into a shooting that left five people wounded in the Crown Heights neighborhood of Brooklyn. One of the wounded later died.",2024,3,"Sep",2,"Sep 2","Mon",NA,NA
"101",2024-09-02,"Nashville","Tennessee",0,5,5,"Five people were injured in a late night shooting at a nightclub in the Antioch neighborhood on the city's southeast side.",2024,3,"Sep",2,"Sep 2","Mon",36.1715,-86.7842
"102",2024-09-02,"Oak Park","Illinois",4,0,4,"2024 Chicago train shooting: Four people were fatally shot on a Blue Line train between Oak Park and Harlem stations in the Oak Park area. The suspect was later located and arrested at the California station on the Pink Line in Chicago. The attack caused the Blue Line to be shut down between the Forest Park and Austin stations.",2024,3,"Sep",2,"Sep 2","Mon",41.8872,-87.7899
"103",2024-09-01,"St. Louis","Missouri",0,5,5,"Five people were injured in a shooting in Downtown West. One woman suffered a gunshot wound while four others suffered wounds from bullet fragments.",2024,3,"Sep",1,"Sep 1","Sun",38.6359,-90.2451
"104",2024-09-01,"Bullard","Texas",3,1,4,"A mother and her three children were shot at their home. A baby survived with a severe gunshot wound to the face.",2024,3,"Sep",1,"Sep 1","Sun",32.1451,-95.3196
"105",2024-09-01,"Cleveland","Ohio",0,4,4,"Four people were shot in the east side during a dispute over stolen property.",2024,3,"Sep",1,"Sep 1","Sun",41.4764,-81.6805
"106",2024-09-01,"Milford","Delaware",0,4,4,"Police responding to reports of shots fired found four people suffering from gunshot wounds.",2024,3,"Sep",1,"Sep 1","Sun",38.9091,-75.4227
"107",2024-09-01,"Dayton","Ohio",0,4,4,"Four people were injured in an early morning shooting.",2024,3,"Sep",1,"Sep 1","Sun",39.7805,-84.2003
"108",2024-09-01,"New Orleans","Louisiana",1,4,5,"Following a fight at a bar, a group of five women were driving away when they were fired upon in Mid-City, causing a roll-over crash. One woman was killed and the four others were injured.",2024,3,"Sep",1,"Sep 1","Sun",30.0687,-89.9288
"109",2024-08-31,"Waianae","Hawaii",4,2,6,"A man rammed his tractor into several vehicles outside his neighbor's residence where a party was being held, then shot into the tractor's fuel drums and into the home's carport and at fleeing partygoers, killing three and injuring two others, before he was fatally shot by the homeowner.",2024,3,"Aug",31,"Aug 31","Sat",21.4568,-158.1758
"110",2024-08-31,"Albuquerque","New Mexico",4,0,4,"Four people at an apartment were drinking together throughout the day in the Near North Valley area. During the late evening an argument escalated into a shooting in which a man shot and killed the three he had been drinking with before fatally shooting himself.",2024,3,"Aug",31,"Aug 31","Sat",35.1054,-106.6465
"111",2024-08-30,"Euclid","Ohio",1,4,5,"A teenager was killed and four other teenagers were injured in a shooting near the campus of Euclid High School following a high school football game.",2024,3,"Aug",30,"Aug 30","Fri",41.5903,-81.5188
"112",2024-08-30,"Burnsville","Minnesota",0,5,5,"Five teenagers were shot in a sports park during the evening hours.",2024,3,"Aug",30,"Aug 30","Fri",44.7648,-93.2793
"113",2024-08-29,"Dallas","Texas",2,2,4,"A man sought out a police officer and fatally shot him as he sat in his patrol car in a parking lot in Cedar Crest . Officers responded after hearing gunshots over the fallen officer's radio and were fired upon by the man, with two officers being struck by gunfire. The man then fled north along Interstate 35E before he was stopped by pursuing police officers 40 miles away in Lewisville where he was fatally shot after an exchange of gunfire.",2024,3,"Aug",29,"Aug 29","Thu",32.7935,-96.7667
"114",2024-08-29,"Tulare","California",0,4,4,"Four men were shot during the evening hours in a residential area.",2024,3,"Aug",29,"Aug 29","Thu",36.1995,-119.34
"115",2024-08-27,"Philadelphia","Pennsylvania",0,4,4,"Three men and a woman were shot in the Kensington neighborhood on the northeast side.",2024,3,"Aug",27,"Aug 27","Tue",40.0077,-75.1339
"116",2024-08-25,"Warner Robins","Georgia",0,4,4,"A drive-by shooting during a house party wounded a man and three women.",2024,3,"Aug",25,"Aug 25","Sun",32.5961,-83.6527
"117",2024-08-25,"Sioux Falls","South Dakota",1,3,4,"A man was killed and three other men were injured in a shooting at Dunham Park.",2024,3,"Aug",25,"Aug 25","Sun",43.5396,-96.7311
"118",2024-08-25,"Allentown","Pennsylvania",0,8,8,"A man fired at another group during a Dominican Festival in Downtown Allentown, resulting in a shootout that injured eight people.",2024,3,"Aug",25,"Aug 25","Sun",40.5961,-75.4756
"119",2024-08-25,"Lubbock County","Texas",1,5,6,"One person was killed and five others were injured in a shooting south of Lubbock.",2024,3,"Aug",25,"Aug 25","Sun",NA,NA
"120",2024-08-25,"Syosset","New York",5,0,5,"A man fatally shot himself outside the home of his recently deceased mother after shooting and killing three of his siblings and a niece inside the home. They had gathered at the home for the funeral and planned to sell the estate.",2024,3,"Aug",25,"Aug 25","Sun",40.8157,-73.502
"121",2024-08-25,"Mobile","Alabama",0,6,6,"Six people were shot shortly after midnight in the Africatown neighborhood.",2024,3,"Aug",25,"Aug 25","Sun",30.6782,-88.1162
"122",2024-08-24,"Chester","Pennsylvania",1,3,4,"One person was killed and three others were injured in a shooting at an intersection.",2024,3,"Aug",24,"Aug 24","Sat",39.8456,-75.3718
"123",2024-08-24,"Whitfield County","Georgia",4,0,4,"A 16-year-old boy fatally shot four men at a sports park north of Dalton in what was believed to be a robbery-motivated attack.",2024,3,"Aug",24,"Aug 24","Sat",NA,NA
"124",2024-08-22,"Houston","Texas",0,4,4,"Three masked people fired into a home in the Eastwood neighborhood, striking three teenagers and a young child, before fleeing.",2024,3,"Aug",22,"Aug 22","Thu",29.786,-95.3885
"125",2024-08-22,"Milwaukee","Wisconsin",1,3,4,"A man was killed and three other men, including a security guard, were injured in an early morning shooting at a north side bar in the Washington Park neighborhood.",2024,3,"Aug",22,"Aug 22","Thu",43.0642,-87.9675
"126",2024-08-21,"Philadelphia","Pennsylvania",0,4,4,"Two people ran across a storefront area and opened fire, injuring four men in the process, in the Haverford North neighborhood on the west side.",2024,3,"Aug",21,"Aug 21","Wed",40.0077,-75.1339
