Date,Community,State,Dead,Injured,Total,Description
December 13,Durham (4),North Carolina,2,4,6,"Six people in an SUV were shot at in the early morning, causing the SUV to crash. Two adults were killed and four juveniles wounded.[44]"
December 12,Bolton,Mississippi,0,6,6,Six people were wounded at local sports bar in the early morning.[45]
December 12,Tampa (3),Florida,0,5,5,"Five people were wounded in the early morning, a suspect was arrested days later.[46]"
December 12,Baytown,Texas,1,14,15,One person was killed and fourteen others wounded in a drive-by shooting at a memorial vigil in Baytown for another shooting victim.[47]
December 12,Woodbridge,Virginia,0,4,4,Three security guards and a bystander were shot by a gunman at a nightclub.[48]
December 11,River Grove (2),Illinois,1,3,4,"Four adults were shot at a bowling alley at approximately 1 AM, killing a 23-year-old man.[49]"
December 10,Lansing (2),Michigan,1,3,4,"Three teenagers and a baby were shot while in a car near an intersection, killing a 17-year-old girl.[50]"
December 10,Orlando (4),Florida,0,5,5,Five people were shot in a drive-by shooting in the Callahan neighborhood.[51]
December 10,Charlotte,North Carolina,0,5,5,Five people were shot in the Grier Heights neighborhood.[52]
December 9,Beloit,Wisconsin,1,5,6,"Responding officers found one person killed and two wounded, with an additional two wounded found at the hospital.[53]"
December 8,Milwaukee (6),Wisconsin,4[n 3],0,4,A shooter killed two adults and one juvenile inside a house before killing themselves. The incident was domestic-related.[54]
December 6,Philadelphia (20),Pennsylvania,0,4,4,Three men and a teenager were wounded in Brewerytown.[55]
December 5,Detroit (12),Michigan,2,2,4,"Four men were shot by a gunman, two of whom succumbed to their injuries.[56]"
December 5,El Paso (2),Texas,1,3,4,"A fight broke out in the parking lot of a bar, after a group was ejected. It escalated, with bystanders attempting to intervene. A man walked up and shot at the bystanders killing one and wounding three.[57]"
December 3,Memphis (7),Tennessee,2,2,4,Two teenagers were killed and a teenager and an infant were wounded in a drive-by shooting at a gas station.[58]
December 2,Elizabeth City,North Carolina,3,3,6,Responding officers found two adults and a child killed and three adults wounded.[59]
December 1,Kansas City (3),Missouri,2[n 3],2,4,"A man shot and injured his girlfriend, then went to an apartment and barricaded himself inside with his two children. The gunman shot both children, one fatally, before killing himself.[60]"
November 30,Taylor,Texas,4[n 3],0,4,Police responded to a welfare check and found four people dead. A man had shot and killed two family members and a family friend inside his house before dying of a self-inflicted gunshot wound.[61]
November 30,Oxford,Michigan,4,7,11,"2021 Oxford High School shooting: A 15-year-old student opened fire at Oxford High School initially killing three students and wounding seven others and a teacher, before being arrested.[62] One of the wounded died a day later.[63] The suspect was charged with four counts of murder and seven counts of attempted murder while his parents, who bought him the gun used in the shooting as an early Christmas present, were charged with four counts of involuntary manslaughter.[64]"
November 30,Rex,Georgia,4[n 3],2,6,Responding officers to a domestic incident were shot at by the suspect. The suspect had killed two women and wounded a child previously. An officer and the suspect were killed and another officer was wounded.[65]
November 29,Fort Wayne,Indiana,4[n 3],0,4,"A 20-year-old man shot and killed his mother, father, and 15-year-old sister before killing himself at their home.[66]"
November 28,Baltimore (10),Maryland,0,7,7,Responding police found six adults and a teenager wounded in East Baltimore.[67]
November 28,Evanston (2),Illinois,1,4,5,A teenager was killed and four others wounded at a gas station.[68]
November 28,Lancaster,California,5,0,5,A man killed his four children and his mother in law in their home. He turned himself in to police an hour later and was charged with five counts of murder.[69] The shooter was given life without parole in 2024.[70]
November 28,Aurora (4),Colorado,0,5,5,Five youths were wounded in a shooting.[71]
November 28,Philadelphia (19),Pennsylvania,0,4,4,Four people were wounded in an evening shooting in Kingsessing.[72]
November 27,Newark (2),New Jersey,1,3,4,A teenager was killed and three others were wounded after men in a car opened fire in the South Ward.[73]
November 26,Nashville (6),Tennessee,3[n 3],4,7,"Home invaders killed two teenagers and wounded their mother, two teenage siblings and an adult sibling. One of the assailants was also killed.[74]"
November 25,San Antonio (6),Texas,2,2,4,Two men were killed and two others wounded in a believed targeted drive-by shooting. Eyewitnesses are not cooperating with police.[75]
November 25,Green Sea,South Carolina,0,4,4,Four people were wounded and transported to the hospital in private vehicles.[76]
November 23,Lehigh Acres,Florida,0,4,4,Four people were wounded after a large party was ending. Police believe it connected to another incident near a local hospital.[77]
November 23,Marshall (2),Texas,1,3,4,A man was killed and three others wounded shortly before noon. A suspect was arrested.[78]
November 22,Warsaw,North Carolina,2,2,4,Two men were killed and two juveniles were wounded while in a vehicle outside an apartment complex.[79]
November 21,Baton Rouge (4),Louisiana,1,4,5,A man was killed and four others were wounded in the parking lots of a local club.[80]
November 21,Passaic,New Jersey,0,5,5,Four adults and one child were shot during a backyard party.[81]
November 20,Fresno (1),California,2,2,4,Two men were killed and two wounded at an apartment complex.[82]
November 20,Berwyn,Illinois,0,4,4,Four people were wounded at a local bar in the early morning.[83]
November 18,Smithsburg,Maryland,4[n 3],0,4,"A current Baltimore police sergeant helped a former officer kidnap the officer's two children from a Pennsylvania home on November 15. Three days later, as police approached them, the former officer shot and killed his two children and the sergeant before killing himself.[84]"
November 18,Cambridge,Maryland,1,3,4,"One teen was killed, and three other teens were wounded in two separate but related shootings on the same block.[85]"
November 17,East St. Louis (2),Illinois,1,3,4,A man was killed and three others wounded in an afternoon shooting.[86]
November 17,New York City (18),New York,0,4,4,Two adults and two teens were wounded in a potentially targeted drive-by in Williamsbridge.[87]
November 17,Newburgh,New York,0,4,4,Four teens were shot during a gunfight near a high school.[88]
November 17,Chicago (61),Illinois,0,4,4,Four people were wounded in a drive-by shooting shortly after midnight on the Near West Side.[89]
November 15,New York City (17),New York,0,4,4,Four men were shot outside of a bodega in Harlem.[90]
November 15,Aurora (3),Colorado,0,6,6,Six teenagers were wounded in a drive-by shooting at a park located across from a high school.[91][92]
November 14,Philadelphia (18),Pennsylvania,0,6,6,"Three men and three women were shot, one man critically.[93]"
November 14,Columbia,Missouri,1[n 2],5,6,"Two men opened fire at each other at a lounge, wounding five. One of the shooters was killed by responding police.[94]"
November 14,Chiloquin,Oregon,2,2,4,"Four people were shot, two of the victims fatally.  A man from Klamath Falls was arrested and charged with murder.[95]"
November 14,Tucson (2),Arizona,4[n 3],1,5,"Four men arrived at a trailer park and confronted a homeowner and a guest, leading to the homeowner shooting and killing the four men and the guest being injured by the four attackers.[96]"
November 14,Troy (1),Alabama,1,5,6,A man was killed and five others wounded at a gas station in the early morning.[97]
November 13,Winston-Salem (2),North Carolina,0,4,4,Four people were wounded after several people opened fire at a party.[98]
November 13,Houma (2),Louisiana,0,4,4,"Four people were wounded at a high school homecoming after-party, after multiple attendees began shooting.[99]"
November 12,Richmond (4),Virginia,2,2,4,Two children were killed and two adults wounded on the East End.[100]
November 12,Birmingham (4),Alabama,2,2,4,"Two wounded were found outside a vehicle, where two were found deceased in the backseat. Several weapons were found in the vehicle.[101]"
November 9,Rochester (4),New York,0,4,4,Four teenagers were wounded in an evening shooting.[102]
November 9,Scotland,South Dakota,3,2,5,Three adults were killed and an adult and child were wounded after an argument escalated inside a home.[103]
November 9,Killona,Louisiana,1,4,5,A man was killed and three adults and a teenager wounded in an ambush-style shooting outside a grocery store.[104]
November 8,Philadelphia (17),Pennsylvania,0,4,4,Three teenagers and an adult were wounded after three of them exited a local store in Feltonville and were chased down the street.[105]
November 7,Kenosha (3),Wisconsin,1,3,4,A man was killed and three others wounded in the early morning.[106]
November 6,Oakley,California,2,2,4,Two people were killed and two wounded at a family birthday party.[107]
November 6,Marshall (1),Texas,0,6,6,Six people were wounded in the early morning at a large community event.[108]
November 6,Highland,California,0,4,4,"Shortly after midnight a man opened fire at a local bar, wounding four.[109]"
November 5,Oakland (9),California,1,3,4,A man was killed and three wounded in a drive-by shooting in East Oakland.[110]
November 3,Des Moines (2),Iowa,0,4,4,Four people were wounded in an evening shooting a block away from a middle school.[111]
November 3,Norfolk (4),Virginia,3,2,5,A man killed three women and wounded two in a targeted domestic dispute. One of the wounded was targeted and the others attempted to help her.[112] The shooter was given four life sentences in 2024.[113]
November 2,Mobile (3),Alabama,0,4,4,A woman shot and wounded four in a bowling alley after a fight escalated.[114]
November 1,Orlando (3),Florida,0,4,4,"After an online dispute, a person shot four people in Downtown Orlando.[115]"
November 1,San Antonio (5),Texas,0,4,4,Four people were wounded in an evening drive-by on the West Side.[116]
October 31,Flossmoor,Illinois,1,3,4,Four people were shot just after midnight on Halloween.[117]
October 31,Lakewood (1),Colorado,2,2,4,"Four people were shot, two fatally.[118]"
October 31,Houston (18),Texas,1,9,10,A woman was shot and killed and nine injured at a large Halloween party of hundred people.[119]
October 31,Louisville (2),Kentucky,2,2,4,Two cousins working as security were shot and killed. Two others were wounded.[120]
October 31,Fort Worth (4),Texas,1,3,4,An 18-year-old was arrested after killing a man and wounding three others in a drive-by shooting.[121]
October 31,Joliet,Illinois,2,12,14,Two people were killed and several wounded after two men opened fire on a Halloween party.[122]
October 30,Gilroy,California,1,3,4,One person was killed and three wounded after a shooting at a house party. The party occurred at the home of a Gilroy councilwoman.[123]
October 30,Texarkana,Texas,1,9,10,A man was killed and several people wounded after a shooting at a Halloween party.[124]
October 30,Oklahoma City,Oklahoma,0,4,4,Four people were wounded in a residential area in the early morning.[125]
October 30,Decatur,Illinois,0,4,4,Four people were wounded at a large house party in the early morning.[126]
October 30,St. Petersburg (2),Florida,1,4,5,A man was killed and four others wounded at an outdoor boxing match at the Skyway Plaza.[127]
October 30,Sacramento (2),California,2,5,7,Two people were killed and five injured at a Halloween party that was held at a local banquet hall.[128]
October 29,Kalamazoo,Michigan,0,4,4,Four people were shot at a party inside an event center.[129]
October 29,Poughkeepsie,New York,0,5,5,Three people were wounded at a birthday party and two more were wounded as the tour bus transporting some of the wounded was later shot at.[130]
October 28,Sunrise Manor,Nevada,0,4,4,Four people were wounded after an argument in an alley escalated.[131]
October 28,Nashville (5),Tennessee,1,3,4,A man was killed and three wounded in a suspected robbery shortly before midnight.[132]
October 25,Boise,Idaho,3[n 3],4,7,"Two people, including a security guard, were shot and killed at a mall, and four others were wounded. The shooter was injured by responding officers and died the next day after being taken into custody.[133][134]"
October 25,Memphis (6),Tennessee,0,4,4,Three teenagers and an adult were wounded after a shooting near an elementary school.[135]
October 24,Gonzales,California,2,2,4,"Two people were killed, and two others injured at an off-roading event.[136]"
October 24,Crenshaw,Mississippi,2,3,5,Two people were killed and three injured in a shooting on Jones Street.[137]
October 23,Florence,South Carolina,0,6,6,Six people were wounded in an early morning shooting at a local bar.[138]
October 23,Ontario,California,1,4,5,A teenager was killed and one adult and three juveniles wounded at a Halloween party.[139]
October 23,Fort Valley,Georgia,1,7,8,A man was killed and seven others wounded at an off-campus party about two blocks from Fort Valley State University.[140]
October 22,Chicago (60),Illinois,0,5,5,Five people were wounded outside a Chatham liqueur store when a man opened fire and then fled.[141]
October 22,Renton,Washington,0,4,4,Four people were wounded in the parking lot of a banquet hall that was hosting a Halloween party.[142]
October 22,Baltimore (9),Maryland,0,7,7,Five adults and two teenagers were wounded in a drive-by shooting.[143]
October 21,Tacoma (2),Washington,4,0,4,Three adults were killed and a fourth later died at the hospital in a night time shooting.[144]
October 21,New York City (16),New York,0,4,4,A gunman exited a subway station and shot four people in the Flatbush section of Brooklyn.[145]
October 20,Farwell,Michigan,4,0,4,"A woman shot and killed her father, sister and two workers at their home in the afternoon.[146] The shooter was given life without parole in 2022.[147]"
October 19,Kenosha (2),Wisconsin,3[n 3],2,5,"A man killed his roommate's teenage daughter and her boyfriend, and wounded his roommate and her 14-year-old son. He later killed himself.[148]"
October 17,Houston (17),Texas,0,5,5,Responding officers found an SUV in a ditch with bullet holes and blood near Winzer Park. Four adults and a juvenile were later identified at local hospitals although none had reached out to police.[149]
October 17,St. Louis (6),Missouri,1,3,4,A 19-year-old was killed and three teenagers were wounded in the early morning in the Baden neighborhood.[150]
October 17,Pine Bluff (2),Arkansas,1,3,4,Responding officers found four people wounded and shell casings around a car in the intersection.[151][152]
October 17,Colorado Springs (3),Colorado,0,5,5,Five people were wounded outside a local bar after an unknown number of people opened fire.[153]
October 17,Grambling,Louisiana,1,7,8,A person was killed and seven others wounded at Grambling State University during a homecoming event in the early morning.[154]
October 17,Racine,Wisconsin,0,6,6,Six people were wounded at a one-year anniversary vigil for a man killed in the location. Neighbors refused to cooperate with police due to fear of retaliation.[155]
October 17,Pine Bluff (1),Arkansas,1,7[n 3],8,"Gunfire erupted at a party hall wounding eleven and killing one, responding police opened fire on a man holding a gun and wounded him.[156][157][158][152]"
October 17,Jackson,Mississippi,3,3,6,Three people were killed and three injured after a man opened fire inside a night club.[159]
October 16,Killeen,Texas,1,3,4,Four people were wounded in the parking lot of a club in the early morning. One of the wounded died two days later.[160]
October 15,Mobile (2),Alabama,0,5,5,Five people were wounded at a high school football game.[161]
October 14,Minneapolis (6),Minnesota,1,4,5,Responding police found five people wounded in Ventura Village.[162] One of the wounded later died at the hospital.[163]
October 12,Naples,Florida,1,5[n 2],6,A man was killed and three others wounded after two shooters opened fire on a Naples Park home. The shooters were also wounded.[164]
October 12,Meridian,Mississippi,3,1,4,Three adults were killed in a home and an infant was found wounded.[165]
October 11,South Fulton,Georgia,0,6,6,"Three wounded were found by responding officers, a fourth flagged down officers and two others were found at local hospitals.[166]"
October 10,McColl,South Carolina,2,3,5,Two people were killed and three injured in a shooting near a nightclub.[167]
October 10,Saint Paul (4),Minnesota,1,14,15,One person was killed and 14 injured in a shootout at a bar.[168]
October 10,Sioux City (2),Iowa,0,4,4,Four bystanders were wounded at an after hours club  in an early morning targeted shooting.[169]
October 10,Chicago (59),Illinois,1,4,5,A man was killed and four others injured in an early morning drive-by outside a Wicker Park nightclub.[170]
October 10,Dover (3),Delaware,1,4,5,A man was killed and four others wounded after a drive-by shooting at a house party in the early morning.[171]
October 9,Dallas (7),Texas,0,4,4,Three 18-year-olds and a 16-year-old were wounded in South Dallas.[172]
October 9,Albany (4),New York,1,6,7,Responding officers found one man deceased and six wounded were later found in local hospitals.[173]
October 9,Denver (1),Colorado,1,3,4,Responding officers found one man killed and three wounded.[174]
October 9,Livingston,Louisiana,2,4[n 3],6,Two people were killed and three others wounded after a man went on a multi-parish shooting spree. He was later arrested with a self-inflicted gunshot wound and a dog bite.[175]
October 8,Baltimore (8),Maryland,0,4,4,Four men were wounded in Southeast Baltimore in the afternoon.[176]
October 8,Washington (14),District of Columbia,1,3,4,"Responding police discovered a deceased man and another wounded, with two more identified at local hospitals.[177]"
October 7,Milwaukee (5),Wisconsin,3,1,4,Three adults were killed and another wounded after two men came back thirty minutes after an argument over parking and opened fire.[178]
October 7,Chicago (58),Illinois,0,4,4,Two teenagers and two adults were wounded in the early morning after someone opened fire on another car on the Near North Side.[179]
October 7,Milwaukee (4),Wisconsin,0,5,5,Five people were wounded when a police officer opened fire on an armed suspect who returned fire before he fled the area.[180]
October 6,Baltimore (7),Maryland,1,5,6,A woman was killed and five people were wounded in East Baltimore.[181]
October 6,Cleveland (7),Ohio,0,4,4,Four adults were wounded at a music studio shortly before midnight.[182]
October 6,New Orleans (9),Louisiana,2,2,4,Two men were killed and two others wounded after four people exited a vehicle and opened fire on them. The victims were doing work in a parking lot behind a church.[183][184]
October 5,Rockford,Illinois,1,3,4,Responding police found four injured due to an evening shooting and one later died at the hospital.[185]
October 5,Saint Paul (3),Minnesota,0,4,4,A teen shot four people inside a vehicle at an intersection.[186]
October 4,Minneapolis (5),Minnesota,0,4,4,Three men and a juvenile were wounded at a local gas station.[187]
October 3,Bishopville,South Carolina,1,4,5,A man was killed and four others wounded in an early morning drive by shooting at a Waffle House.[188]
October 2,Aurora (2),Colorado,1,3,4,"A man was killed and two adults and a teenager were wounded at an early morning hotel party,[189]"
October 2,San Antonio (4),Texas,1,3,4,A man was killed and two adults and a teenager wounded at an apartment complex.[190]
October 1,Washington (13),District of Columbia,1,5,6,Five adults were wounded and one killed in Southwest D.C. late at night.[191]
October 1,Cedar Rapids,Iowa,0,6,6,Five adults and a teenager were wounded after an argument at a hotel birthday party celebration escalated.[192]
September 29,Chicago (57),Illinois,0,5[n 3],5,Four bystanders and a suspect were wounded when passengers of two separate cars opened fire on one another while driving down a Fulton River District road.[193][194]
September 28,Chicago (56),Illinois,1,3,4,A woman was killed and three others injured in the early morning after a man opened fire on a car in Park Manor.[195]
September 28,Minneapolis (4),Minnesota,1,3,4,A man was fatally shot and three others injured in a gunfire incident on Bloomington Avenue in the Phillips neighborhood.[196]
September 27,Chicago (55),Illinois,1,3,4,A man was killed and two adults and a teenager wounded in Humboldt Park on the Northwest Side.[197]
September 27,New York City (15),New York,0,5[n 3],5,A man opened fire outside a club in Inwood in Upper Manhattan wounding four. Responding officers opened fire and wounded him.[198]
September 26,Des Moines (1),Washington,3,3,6,Two groups of people began fighting in a bar and others joined in as it spilled into the parking lot. Some fighters got into cars and opened fire while driving away killing three and wounding three others.[199]
September 26,Chicago (54),Illinois,0,6,6,Six adults were wounded in East Garfield Park on the West Side in the early morning.[200]
September 26,Oakland (8),California,0,4,4,Four people including a teenager were wounded in East Oakland.[201]
September 25,Utica (2),New York,0,4,4,Four men were wounded in the early morning.[202]
September 25,Chattanooga,Tennessee,2,5,7,Responding police found two adults killed and four adults and a child wounded.[203]
September 25,Riverside,California,0,6,6,Shortly after midnight six people were wounded at a large house party.[204]
September 25,Athens,Tennessee,4,0,4,Two adults arrived at a home and engaged in an argument with the four adults there over a 10-month old. The dispute escalated and the four adults living at the home were killed and the two suspects kidnapped the child.[205] One of the perpetrators was given four life sentences in 2024.[206]
September 24,Aiken,South Carolina,4[n 3],1,5,A man murdered his parents and sister and wounded another sibling before committing suicide.[207]
September 24,Los Angeles (3),California,0,4,4,Four people were wounded at the Rosa Parks Metro Station in Willowbrook.[208]
September 23,Collierville,Tennessee,2[n 3],14,16,"Collierville Kroger shooting: A worker at a third-party venue inside the store opened fire in a Kroger, killing one and injuring 14, before taking his own life.[209]"
September 23,Philadelphia (16),Pennsylvania,0,4,4,Four men were wounded in the Mantua neighborhood.[210]
September 22,Fayetteville (2),North Carolina,2,2,4,Two teenagers were killed and two others injured in a home invasion. Three days earlier a relative of the two deceased had been killed in another home.[211]
September 21,Washington (12),District of Columbia,0,5,5,"A man opened fire and wounded four adults and one child near Alabama Avenue, Southeast.[212]"
September 20,El Monte,California,1,4,5,"A man was killed and four others wounded, with the deceased found behind the wheel of a vehicle.[213]"
September 20,Philadelphia (15),Pennsylvania,1,5,6,A man was killed and five others injured in a drive-by shooting in the Fern Rock neighborhood.[214]
September 20,St. Louis (5),Missouri,1,3,4,"A man was killed and three others wounded while at a vigil for another homicide victim, when a group of people opened fire from a black SUV.[215]"
September 19,Yemassee,South Carolina,1,7,7,After an argument escalated someone opened fire shortly after midnight killing one adult and wounding one adult and seven children.[216]
September 19,Miami (6),Florida,0,4,4,"During an argument one of the victims pulled out her gun and pointed it at the ground, after things calmed down she put it away and began to enter a car with her husband, and two children. The man she was arguing with opened fire once they got to the car, wounding her, her husband and two children.[217]"
September 19,Dallas (6),Texas,2,4,6,Two adults were killed and three others and a teenager wounded shortly after midnight when a man opened fire.[218]
September 19,Oakland (7),California,1,3,4,A man was killed and three others wounded in the early morning while outside a club.[219]
September 19,Chicago (53),Illinois,0,5,5,"Five people were wounded while sitting on a porch in Austin during the early morning, after two men exited a vehicle and opened fire.[220]"
September 19,Rochester (3),New York,2,2,4,"Two people were killed and two injured after someone shot down an alley at a group standing outside, who were attending a party. The shooting occurred on the anniversary of a similar mass shooting in 2020.[221]"
September 18,New York City (14),New York,1,3,4,"A man was killed and three others wounded at a BBQ at Claremont Park in the Bronx, after an argument escalated.[222]"
September 18,Danville (2),Illinois,2,2,4,Two people were killed and two wounded at a liquor store in the early morning.[223]
September 18,New York City (13),New York,0,4,4,Four people were shot outside a club in the East Flatbush area of Brooklyn after a dispute.[224]
September 18,Opelousas,Louisiana,0,5,5,Five family members were injured after a gunman opened fire on their mobile home at night.[225]
September 17,Augusta (2),Georgia,0,4,4,Four people were wounded in the early morning at a night club. Two men were later arrested.[226]
September 14,Baltimore (6),Maryland,0,4,4,Three teenagers and a boy were injured in a shooting.[227]
September 14,Cleveland (6),Ohio,0,6,6,Six people were wounded after an incident at a liquor store escalated.[228]
September 13,Milwaukee (3),Wisconsin,0,5,5,Five people were wounded in a shooting at a candlelight vigil near the intersection in Sherman Park.[229][230] The vigil was held for a 16-year-old who was killed at the same intersection earlier that day.[231]
September 12,Saint Paul (2),Minnesota,4,0,4,"An SUV with four deceased adults was found in a local cornfield in Wheeler, Wisconsin. It was discovered later that the four victims were shot in Saint Paul following an argument at a bar with the shooter. The perpetrator's father followed his son in a vehicle on the way to Wheeler and then gave his son a ride home after his son abandoned the SUV in the cornfield.[232] The shooter was sentenced to 103 years in prison in 2023.[233]"
September 12,Temple,Texas,0,4,4,Four people were found wounded from a shooting.[234]
September 12,Detroit (11),Michigan,2,4,6,Two women were killed and four others wounded in a drive-by shooting that targeted a family birthday party.[235]
September 12,Blue Island,Illinois,2,2,4,"Three people were found wounded on the street by police, and a fourth victim was located after he fled to the hospital. Two of the victims perished at the hospital.[236]"
September 11,Dothan,Alabama,0,5,5,Five teenagers were wounded at a party at a local shopping center.[237]
September 11,Chicago (52),Illinois,1,3,4,A man was killed and three others injured in South Side drive-by shooting.[238]
September 11,Chicago (51),Illinois,1,5,6,A woman was killed and four adults and a teenager wounded in a West Pullman drive-by while walking as a group.[239]
September 11,Paterson (4),New Jersey,0,4,4,Responding officers discovered two wounded from an early morning shooting. Two others arrived were identified at the hospital.[240]
September 11,Utica (1),New York,0,4,4,Responding officers found four men wounded.[241]
September 10,Orlando (2),Florida,0,4,4,"Deputies were called after a man got drunk and fired shots into the air. He then opened fire on the security guard and officers, before driving down the road, getting into a car accident and opening fire on those in the car. He wounded the security guards and three in the vehicle.[242]"
September 9,East St. Louis (1),Illinois,0,7,7,Six adults and a child were wounded in a drive-by shooting. One of the adult victims was also hit by a MetroLink train.[243][244]
September 9,Montgomery (5),Alabama,1,3,4,Responding officers found one child deceased and two adults and another child injured.[245]
September 8,St. Louis (4),Missouri,0,4[n 3],4,Four people were wounded after two men got into an argument after one was seen arguing and pistol whipping a woman.[246]
September 7,Wichita (2),Kansas,1,5,6,"After getting kicked out of a night club shortly after midnight, a man opened fire killed a man and wounded five women.[247]"
September 7,Wilmington (3),Delaware,0,4,4,Four people were wounded in a local park in the Southbridge neighborhood after a drive-by shooting.[248]
September 6,Atlanta (8),Georgia,0,5,5,"A man opened fire after an argument at a local Black Pride festival, wounding five.[249]"
September 5,Detroit (10),Michigan,0,4,4,Four men were injured in a shooting outside a rollerskating rink on Eight Mile Road in the west side.[250]
September 5,Independence,Missouri,0,4,4,An adult and three teenagers were wounded at a local festival after two people got into an argument and one opened fire.[251]
September 5,New York City (12),New York,0,4,4,Four adults were wounded outside a catering hall in the Bronx after an argument escalated.[252]
September 5,Wyatt,Missouri,0,4,4,Four adults were wounded at a family car show after two men opened fire on the crowd in suspected gang violence.[253]
September 5,Houston (16),Texas,4,0,4,Firefighters discovered a husband and wife and two children deceased when responding to a house fire. Family members believe the family had been dead for days before the fire.[254]
September 5,Athens,Georgia,0,7,7,A man fired into a crowd of people that were fighting in the early morning. He wounded seven and turned himself in the next day.[255]
September 5,Lakeland,Florida,4,2[n 3],6,"A former Marine sharpshooter shot and killed three adults, an infant, and a dog and wounded a child inside and outside a home, before engaging in a shootout with police. The shooter was eventually injured in the gunfight and then apprehended.[256]"
September 5,Cincinnati (6),Ohio,0,4,4,"Three adults and a teenager were wounded after an argument outside a Mt. Washington home. The victims went inside, before the suspect fired through the door.[257]"
September 4,Birmingham (3),Alabama,2,2,4,Two people were killed and two injured after an argument inside a strip mall store escalated. Three people were arrested and one went on the run.[258]
September 4,Monroe (2),Louisiana,1,3,4,"Responding officers found four people injured, with one later dying at the hospital.[259]"
September 4,Washington (11),District of Columbia,3,3,6,"Six people were found injured in Northwest DC, with three later dying at a hospital.[260]"
September 4,Warner Robins,Georgia,1,4,5,A teenager was killed and four others injured while attending a block party.[261]
September 4,Pittsburgh (2),Pennsylvania,0,4,4,A teenager shot four people on the street in Homewood South.[262]
September 4,Chicago (50),Illinois,0,5,5,Five people were injured in a drive-by shooting in Lawndale shortly after midnight.[263]
September 3,Syracuse,New York,0,4,4,Four adults were wounded in an early morning shooting during an outdoor party.[264]
September 3,Austin (2),Texas,1,3,4,A woman was killed and three others injured in an apartment complex close to US Highway 290 in East Austin.[265]
September 3,New Iberia,Louisiana,1,3,4,"One person was killed and three injured outside a shoe store in a strip mall, after two men exited a car and opened fire.[266]"
September 2,Niagara Falls,New York,0,4,4,Four people were wounded after shooters opened fire on them across the street while they were standing outside a deli.[267]
August 31,Elm City,North Carolina,2,2,4,A man killed one person and wounded two others before kidnapping a woman and infant. He later killed the woman and left the baby alive in the stolen vehicle and is still on the run.[268]
August 30,Normal,Illinois,3[n 3],3,6,"A man killed two people and wounded three others in a mobile home park, before being killed by responding police.[269]"
August 29,Nashville (4),Tennessee,0,5,5,Five people were wounded in an early morning drive by shooting on Jefferson Street.[270]
August 29,Las Vegas (2),Nevada,1,3,4,Three adults were wounded and one was killed near Rainbow Boulevard.[271]
August 29,Milwaukee (2),Wisconsin,0,4,4,An adult and three teenagers were wounded.[272]
