2023 date,Location,State or territory,Dead,Injured,Total,Description
December 5,Austin (2) and Bexar County,Texas,6,3,9,2023 Austin shootings: A suspect killed four people and injured three others in a shooting spree in Austin. Another shooting in Bexar County that killed two was also connected to the suspect.[49]
December 4,Lugoff,South Carolina,1,3,4,A 21-year-old man was killed and three others were injured on I-20.[50]
December 3,Five Corners,Washington,5[n 2],0,5,Five people were found dead in their home. The shooter was identified as one of the people killed.[51]
December 3,Dallas (11),Texas,5[n 2],1,6,Four were killed  and one was injured in their home in southeast Dallas.[52] The perpetrator killed himself during a confrontation with police a day after the shooting.[53]
December 3,Houston (11),Texas,1,3,4,One woman was killed and three others were hospitalized in a shooting at a club in southern Houston.[54]
December 2,Aurora,Colorado,0,4,4,Four people suffered gunshot wounds at a house party in the Del Mar Parkway neighborhood.[55]
December 2,Columbus (6),Ohio,0,4,4,"Four people, including a teenager, were shot following an argument in the Mount Vernon neighborhood as they left a home.[56]"
December 2,McComb,Mississippi,0,5,5,Five people who had attended a repast for a shooting victim across the street were wounded in a shooting at a gas station.[57]
December 2,Fresno,California,2,2,4,"A shooting erupted at a gathering, leaving two men dead and two others wounded in the Cincotta neighborhood.[58]"
December 1,Las Vegas (1),Nevada,1,4,5,"Five homeless people were shot, one fatally, in the city's east side.[59]"
November 29,Chicago (22),Illinois,1,3,4,Four people were shot in Homan Square during a fight. One victim later died of his injuries. A 23-year-old female was later arrested in connection of the incident.[60][61]
November 29,Davidson County,North Carolina,0,5,5,Five people were shot after a fight erupted at a home south of Lexington.[62]
November 27,New Orleans (7),Louisiana,1,4,5,"Five people were shot, one fatally, in two separate but related shootings.[63]"
November 26,Sampson County (2),North Carolina,4[n 2],0,4,Three people were killed at a homeless camp before the suspect shot themself.[64]
November 26,Winston-Salem (3),North Carolina,0,5,5,Five people were injured in an early morning shooting at a bar.[65]
November 25,Fontana and Jurupa Valley,California,3,1,4,A man shot and killed his girlfriend and another person before killing an ex-girlfriend at another location then got into an altercation with another person who he non-fatally shot.[66]
November 23,Memphis (14),Tennessee,0,4,4,Two suspects shot and injured four people before fleeing.[67]
November 23,DeKalb County,Georgia,0,4,4,Four people were injured when someone fired over 100 rounds into a home in the early morning hours.[68]
November 23,Chicago (21),Illinois,0,5,5,Five teens were injured in a drive-by shooting outside of United Center.[69]
November 22,Lumberton,North Carolina,0,6,6,Six people were injured at a restaurant.[70]
November 22,Goodman,Mississippi,1,3,4,One person was killed and three were injured in a drive-by shooting near a gas station.[71]
November 21,Welby,Colorado,4[n 2],0,4,"A man opened fire at a home, killing three people including a relative, before committing suicide.[72]"
November 21,Monterey County,California,2,2,4,Two people were killed and two others were injured in a bar shooting outside of Pajaro.[73]
November 21,Philadelphia (19),Pennsylvania,2,5,7,Two people were killed and five others were injured in North Philadelphia.[74]
November 20,Custer County,Colorado,3,1,4,Three people were killed and one was injured over a property dispute.[75]
November 20,Beavercreek,Ohio,1[n 2],4,5,A man shot injured four people at a Walmart and then killed himself.[76]
November 19,Lorain,Ohio,4[n 2],0,4,A man fatally shot his wife and two children before killing himself.[77]
November 19,Port Arthur,Texas,0,5,5,Five people were injured in a possible drive-by shooting.[78]
November 19,Memphis (13),Tennessee,5[n 2],1,6,A man killed four people and injured a fifth before killing himself.[79]
November 19,Tulsa (4),Oklahoma,2,3,5,Two people were killed and three were injured in a home.[80]
November 18,La Presa,California,0,7[n 3],7,Five people were shot and two juveniles were injured by fireworks.[81]
November 18,Little Rock (2),Arkansas,1,4,5,One person was killed and four others were injured.[82]
November 16,Mentor,Ohio,4[n 2],1,5,"Four people, including the suspect, were killed and one person was injured at a trailer park.[83]"
November 15,Baltimore (12),Maryland,0,4,4,Four people were shot in southwest Baltimore.[84]
November 14,Springfield (2),Massachusetts,1,3,4,One person was killed and three others were injured.[85]
November 12,Pearland,Texas,1,4,5,A child was killed and four others were injured at a flea market.[86][87]
November 12,South Hill,Washington,0,6,6,Two teens and four adults were shot at a house party in an Airbnb property near Puyallup.[88]
November 11,Portsmouth,Virginia,0,4,4,Four people were shot.[89]
November 10,Independence,Missouri,0,4,4,Four people were shot in a shopping mall.[90]
November 10,Birmingham (4),Alabama,0,4,4,Four people were shot on Interstate 59 during a shootout.[91]
November 5,Prairie View,Texas,0,7,7,Seven people were injured at a homecoming ceremony after an argument.[92]
November 5,Kansas City (6),Missouri,0,4,4,Four people were shot in a home after an argument.[93]
November 5,Atlanta (5),Georgia,0,6,6,Six people were shot in southeastern Atlanta.[94]
November 5,Phoenix (2),Arizona,0,4,4,"Four people, including a teenager, were shot at a large gathering in central Phoenix.[95]"
November 5,Tacoma,Washington,2,3,5,Two people were killed and three others were injured at a business.[96]
November 5,Indianapolis (8),Indiana,1,4,5,One person was killed and four others were injured in a shooting in southern Indianapolis.[97]
November 5,Denver (6),Colorado,2,5,7,Two people were killed and five were injured in an early morning shooting in Park Hill.[98][99]
November 4,Galveston (2),Texas,0,6,6,Six people were shot at a motorcycle rally. The perpetrator claimed to be targeting rival gang members.[100]
November 4,Richmond Heights,Ohio,1,3,4,An early morning shooting killed one person and injured three others.[101]
November 3,Cincinnati (4),Ohio,1,5,6,"An 11-year-old boy was killed and five were injured, including other children, in a shooting in the West End neighborhood.[102]"
November 1,Dallas (10),Texas,0,5,5,Five people were injured near Fair Park.[103]
October 31,Salinas,California,0,7,7,Seven people were shot at a Halloween party.[104]
October 30,Minneapolis (7),Minnesota,0,4,4,Four women were shot at a party.[105]
October 29,Wilson,North Carolina,0,4,4,Four people were injured in a shooting at a birthday party.[106]
October 29,Vincent,California,0,5[n 4],5,Four people were shot and one was stabbed at a late night Halloween party outside of Azusa.[107]
October 29,Dodge City (2),Kansas,2,2,4,Two people were killed and two were injured in a shooting at a bar.[108]
October 29,Calcasieu Parish,Louisiana,0,6,6,Six teenagers were injured in a shooting at a party.[109]
October 29,Pittsburgh (4),Pennsylvania,0,4,4,Four people were injured in a shooting in the Carrick neighborhood.[110]
October 29,Chicago (20),Illinois,0,15,15,2023 Chicago Halloween party shooting: Fifteen people were injured after a shooting occurred at a Halloween party in the North Lawndale neighborhood.[111]
October 29,Atlanta (4),Georgia,1,3,4,"Four people, including two students, were shot near the campus of Georgia State University in the early morning.[112] One of the victims died from her injuries on November 6.[113]"
October 29,Indianapolis (7),Indiana,1,9,10,One person was killed and nine were injured in a shooting at a party.[114]
October 29,Tampa (2),Florida,2,16,18,2023 Ybor City shootings: Two people were killed and sixteen were injured in a street fight after a Halloween party in the Ybor City neighborhood.[115]
October 28,Chula Vista,California,0,4,4,Four people were shot at a restaurant in a mall after a dispute.[116]
October 28,San Antonio (4),Texas,2,3,5,Two people were killed and three others were injured after an argument between neighbors escalated into a shootout.[117]
October 28,Texarkana,Texas,3,3,6,"Six people were shot, three of whom were killed, after a fist fight escalated into a shooting.[118]"
October 27,Mansfield,Ohio,2,4,6,Two teenagers were killed and four others were injured after a shooting broke out at a party.[119]
October 26,Sampson County,North Carolina,5,0,5,Five people were killed in a late night shooting at a home near Clinton.[120]
October 25,Lewiston,Maine,19[n 2],13,32,2023 Lewiston shootings: Eighteen people were killed and thirteen others were injured in a spree shooting at a bowling alley and a bar. The shooter was found dead two days later from an apparent self-inflicted gunshot wound.[121]
October 24,Greenville (2),North Carolina,1,3,4,One person was killed and three were injured in a shooting at a convenience store.[122]
October 21,Oakley,California,1,3,4,A teenager was killed and three others were injured at a late night party at a residence.[123]
October 19,Toppenish,Washington,4[n 2],1,5,"An estranged boyfriend opened fire at a home, killing his girlfriend and two teenagers before killing himself. Another man was critically wounded.[124]"
October 19,Seattle (4),Washington,1,3,4,A man was killed and three others were injured in a shooting near Golden Gardens Park in the Ballard neighborhood.[125]
October 16,Los Angeles (9),California,3,1,4,A drive-by shooting outside a Mexican restaurant in the Toluca Lake neighborhood left three men dead and another injured.[126]
October 15,Minneapolis (6),Minnesota,0,4,4,Four people were injured overnight in a drive-by shooting in the North Loop neighborhood of  Central Minneapolis.[127]
October 14,Denver (5),Colorado,3,3,6,Three people were killed and three others were injured at a late night party in the city's northeast side.[128]
October 12,Glendorado Township,Minnesota,0,6,6,"Near Princeton, five police officers sustained non-life-threatening injuries after being shot by a suspect while executing a search warrant. The suspect, who was shot in the foot, was apprehended several hours later.[129][130]"
October 8,Chicago (19),Illinois,0,8,8,Eight people were injured outside Blum Restaurant & Bar in the River North neighborhood.[131]
October 8,Chevy Chase Heights,Pennsylvania,1,8,9,One person was killed and eight others were injured at a party at the Chevy Chase Community Center.[132]
October 7,St. Petersburg,Florida,0,7,7,Seven people were injured after an altercation escalated into a shooting.[133]
October 7,Inglewood,California,2,3,5,Two men were killed and three other men were injured in a parking lot in what police believe was a targeted shooting.[134]
October 4,Holyoke,Massachusetts,1,3,4,"Three men got into a dispute outside a store, leading to a shooting. One man was shot in the leg, another in the hand, and a pregnant woman sitting in a passing bus was struck by gunfire. The woman was hospitalized and her baby was delivered, but the baby died shortly after.[135]"
October 4,Philadelphia (18),Pennsylvania,1[n 2],4,5,A man and three police officers responding to a domestic disturbance call were injured when another man opened fire. The suspect was then killed by police.[136]
October 3,Jersey City (2),New Jersey,0,6,6,Five people were shot late at night. A sixth person was injured when a car carrying one of the victims to a hospital crashed.[137]
October 3,Baltimore (11),Maryland,0,5,5,Five people were shot during a homecoming event on the campus of Morgan State University.[138] The shooting led to the cancellation of the school's scheduled football game against Stony Brook later that week.[139]
October 2,Philadelphia (17),Pennsylvania,4[n 2],1,5,A man killed three people and critically wounded a woman at a home in the Crescentville neighborhood before being killed in a short gun battle with police. A police officer suffered an injury from broken glass.[140]
October 1,Harris County,Texas,2,2,4,A woman and her daughter-in-law were killed and two men were injured after a dispute in a home escalated.[141]
October 1,Lexington,Kentucky,0,4,4,Four people were injured after an argument escalated. A suspect was arrested at the scene.[142]
October 1,Omaha,Nebraska,1,5,6,A teenager was killed and five were injured at an after hours party.[143]
September 24,Richland County,South Carolina,3,1,4,A teenager killed three other teens and injured another after a fight escalated.[144]
September 23,Downey,California,0,4,4,"After being ejected from a local restaurant, a couple allegedly returned and fired into the bar from their vehicle critically wounding four.[145]"
September 23,Jacksonville (2),Florida,3,1,4,Two adults and a toddler were killed at an apartment after an argument rose over the selling of a dog. A third adult from the group was also injured.[146]
September 22,Orlando (2),Florida,1,3,4,Four people were injured in a shooting outside of an apartment. One of the victims later died from their injuries.[147]
September 22,Minneapolis (5),Minnesota,0,4,4,Four men were injured in the Lyn-Lake area at about 10:40 p.m.[148]
September 18,Spring Lake,North Carolina,1,3,4,"A mother and three children, including her daughter, were injured in their vehicle during the evening. The mother later died from her injuries at a hospital.[149][150]"
September 18,Charlotte (3),North Carolina,0,4,4,Four people were injured during the morning in uptown Charlotte.[151]
September 17,Boston (3),Massachusetts,0,5,5,Five people were injured in the Dorchester neighborhood.[152]
September 17,El Paso (4),Texas,2,4,6,One man was killed and five others were injured at a house party.[153][154] A 14-year-old girl who was wounded during the attack died two days later at a hospital.[155]
September 16,Romeoville,Illinois,6[n 2],0,6,"Two adults and two children were killed at their home in Romeoville.[156][157] The shooter was tracked down with his fiancée at Catoosa, Oklahoma. During an attempted traffic stop, the shooter crashed his vehicle. Afterwards, he killed his fiancée and then himself.[158]"
September 16,Denver (4),Colorado,0,5,5,Five people were injured during the night in Lower Downtown Denver.[159]
September 13,Philadelphia (16),Pennsylvania,0,4,4,Four people were injured during the night in North Philadelphia.[160][161]
September 11,Palm Bay,Florida,0,4,4,Four teenagers were injured during the night at an apartment complex.[162][163]
September 10,Jersey City (1),New Jersey,0,4,4,Four people were shot late at night.[164]
September 10,Detroit (6),Michigan,2,2,4,Two people are dead and two others wounded after a shooting on Detroit's west side that police say stemmed from a fight.[165]
September 10,Indianapolis (6),Indiana,0,5,5,Five women were injured when a fight escalated on the city's northwest side.[166]
September 4,Birmingham (3),Alabama,2,3,5,Two women were killed and three other people were injured at a hospital.[167]
September 3,Atlanta (3),Georgia,1[n 2],5,6,"An 18-year-old man injured five people, including a toddler and another teenager, during a dispute in a home in northwest Atlanta before killing himself.[168]"
September 3,Freeport,Illinois,1,3,4,A man died and three others were shot in a gang related shooting.[169]
September 3,High Point (2),North Carolina,1,3,4,A man was killed and three others wounded.[170]
September 3,Galveston (1),Texas,2,2,4,Two men were killed and two others wounded at an early morning house party in the West End.[171]
September 2,Lynn,Massachusetts,1,7,8,One person was killed and seven injured in an apparently targeted early morning shooting at a house party.[172]
August 30,Houston (10),Texas,0,4,4,Four people were wounded in an evening drive-by shooting at a food truck park in the Galleria.[173]
August 30,Peoria (2),Illinois,0,6,6,Police responding to a ShotSpotter alert on the city's south side found six people injured.[174]
August 27,Detroit (5),Michigan,1,4,5,One person was killed and four others were injured at a motorcycle club on the city's west side.[175]
August 27,Louisville (6),Kentucky,2,4,6,Two people were killed and four were injured at a lounge early in the morning in Downtown Louisville.[176]
August 26,Joppatowne,Maryland,4[n 2],0,4,A man killed three people in an apartment before killing himself.[177]
August 26,Boston (2),Massachusetts,0,8,8,Eight people were injured in the Dorchester neighborhood during a Caribbean Carnival parade.[178]
August 26,Jacksonville (1),Florida,4[n 2],0,4,"2023 Jacksonville shooting:  After being turned away from Edward Waters University by security, a white man with a swastika-adorned rifle attacked a Dollar General store, killing three Black people before committing suicide, in what is believed to be a racially-motivated hate crime.[179]"
August 25,Choctaw,Oklahoma,1,4,5,A 16-year-old boy was killed and four others were injured at a high school football game.[180]
August 25,Pasadena,California,0,5,5,Five people were injured after a fight in the parking lot of an apartment complex escalated.[181]
August 24,Uniontown,Ohio,5[n 2],0,5,Police responding to a domestic disturbance call found a couple and their three children dead in an apparent murder-suicide.[182]
August 23,Trabuco Canyon,California,4[n 2],6,10,2023 Trabuco Canyon shooting: Four people were killed and six others were injured at the Cook's Corner bar. The shooter was killed by responding deputies.[183][184]
August 22,Madison County,Mississippi,2[n 2],2,4,"After responding to a domestic disturbance call, police found two people injured and one dead, then killed the suspect after a brief pursuit.[185]"
August 21,Upper Darby Township,Pennsylvania,1,3,4,One person was killed and three others were injured at a luncheon for a homicide victim.[186]
August 20,Seattle (3),Washington,3,6,9,Three people were killed and six others were injured at a hookah bar in the Rainier Valley district.[187]
August 20,Minneapolis (4),Minnesota,0,8,8,Eight people were injured near Peavy Field Park.[188]
August 19,Milwaukee (5),Wisconsin,0,9,9,Nine people were injured in the Muskego Way area.[189]
August 19,Philadelphia (15),Pennsylvania,1,6,7,A person was killed and six were injured at a block party in the Parkside neighborhood of West Philadelphia.[190]
August 17,Spring Valley,Nevada,1,3,4,A man killed his estranged wife and injured three others.[191]
August 16,Oklahoma City (3),Oklahoma,5[n 2],0,5,"After responding to a domestic disturbance call, police found five people dead, including three children, in an apparent murder-suicide.[192]"
August 16,Louisville (5),Kentucky,0,4,4,Four people were injured after a fight at an apartment complex in the Russell neighborhood escalated.[193]
August 16,Clarksville,Tennessee,2[n 5],5,7,Two brothers who were wanted for aggravated burglary were killed and four police officers and a hostage were injured during a 10-hour standoff.[194]
August 14,Springfield (1),Massachusetts,3[n 2],1,4,A man killed his neighbor and her dog and injured her two grandchildren before killing himself. One of the children died from her injuries three days later.[195][196]
August 13,Cincinnati (3),Ohio,0,4,4,Four people were injured near the University of Cincinnati.[197]
August 13,Chicago (18),Illinois,0,4,4,Four people were injured in the Old Town neighborhood on the Near North Side.[198]
August 13,Chicago (17),Illinois,1,3,4,One man was killed and three other people were injured in the Washington Park neighborhood.[199]
August 13,Memphis (12),Tennessee,0,8,8,Eight people were injured early in the morning in Downtown Memphis.[200]
August 12,Grand Rapids,Michigan,0,4,4,Four people were injured in Southeast Grand Rapids.[201]
August 11,Pine Bluff (3),Arkansas,0,5,5,Four people were injured at a Stop & Shop parking lot.[202]
August 11,Minneapolis (3),Minnesota,1,6,7,One person was killed and six others were injured in the backyard of a house.[203]
August 11,Philadelphia (14),Pennsylvania,3,1,4,Three people were killed and one person was injured at a playground in North Philadelphia.[204]
August 10,Marysville,Washington,2,2,4,"In the early morning a man killed another at an apartment complex. Three hours later, while on the run the shooter entered a family home killed a woman and injured two other adults. Two children in the home at the time were uninjured.[205]"
August 9,Nunda Township,Illinois,4[n 2],1,5,A man fatally shot three women and injured another in a domestic violence incident before committing suicide.[206]
August 9,Pittsburgh (3),Pennsylvania,0,5[n 2],5,"After being ejected from a bar by its bouncers, a man returned and was injured in a shootout along with four others.[207]"
August 6,Philadelphia (13),Pennsylvania,0,5,5,Five teens were injured at the Helen G. Sturgis Playground in the East Oak Lane neighborhood of North Philadelphia.[208]
August 6,Murillo,Texas,0,7,7,Police found seven people injured at the El Antro Nightclub.[209]
August 5,Lafayette,Louisiana,1,5[n 2],6,"A child was killed, and another and an adult wounded. Responding officers fired at the suspect who wounded two officers, and was also wounded.[210]"
August 5,Kansas City (5),Missouri,0,4,4,"Four men were injured shortly before midnight, the suspect was arrested by responding police.[211]"
August 5,Washington (6),District of Columbia,3,4,7,Three people were killed and four were injured in the Anacostia neighborhood of Southeast DC.[212]
August 3,Los Angeles (8),California,0,4,4,Four people were injured in a city event in South Los Angeles.[213]
August 2,Pine Bluff (2),Arkansas,0,5,5,Two teenagers and three adults were wounded.[214]
July 31,Columbus (2),Mississippi,0,4,4,Four people were injured when an altercation between people in two vehicles in the parking lot of Baptist Memorial Hospital-Golden Triangle escalated.[215]
July 30,Muncie,Indiana,1,18,19,"One person was killed, 18 wounded/injured, five of them airlifted to Indianapolis with one in critical condition after being struck by an automobile at a large block party on the city's south-east side.[216][217]"
July 30,Lansing (3),Michigan,0,5,5,"Five people were injured, two critically, in a shopping center parking lot.[218]"
July 28,Tampa (1),Florida,1,3,4,One person was killed and three others injured.[219]
July 28,Fort Lauderdale (2),Florida,0,4,4,Four people were injured after an argument over a game of dominoes escalated.[220]
July 28,Ford Heights,Illinois,1,4,5,One person was killed and four people were injured.[221]
July 28,Seattle (2),Washington,0,5,5,Five people were injured in a Safeway parking lot in the Rainier Beach neighborhood.[222]
July 25,Pittsburgh (2),Pennsylvania,0,5,5,Five juveniles injured.[223]
July 24,Tulsa (3),Oklahoma,3,1,4,Three women were killed and a baby was injured in an apartment by an ex-boyfriend.[224]
July 24,New York City (7),New York,1,3,4,One person was killed and three more were injured in the Tremont section of the Bronx.[225]
July 23,East Lake-Orient Park,Florida,0,5,5,Five people were injured at a private party in a bar.[226]
July 23,Seattle (1),Washington,1,3,4,One person was killed and three were injured at an illegal street race in the Capitol Hill neighborhood.[227]
July 23,Dallas (9),Texas,1,3,4,One person was killed and three were injured in Northwest Dallas when a person in a vehicle fired at the group and fled.[228]
July 23,Birmingham (2),Alabama,0,4,4,Four men were injured at a nightclub.[229]
July 23,Houston (9),Texas,1,4,5,One person was killed and four injured at a nightclub in Southeast Houston.[230]
July 22,Houston (8),Texas,1,4[n 5],5,A pregnant woman was killed and four additional people including the two shooters were injured at the Margaret Jenkins Park in Southeast Houston.[231]
July 22,Eastover,North Carolina,1[n 2],3,4,A man shot and injured three people. The shooter was killed in Eastover.[232]
July 22,Chicago (16),Illinois,1,4,5,A man was killed and four more were wounded in North Lawndale.[233]
July 22,Glendale,Arizona,0,4,4,Four people were injured after overnight shooting at Westgate.[234]
July 22,Memphis (11),Tennessee,1,4,5,"One person was killed and four others were injured, including a child, in the Parkway Village neighborhood.[235]"
July 21,Marrero,Louisiana,1,3,4,One person was killed and three more injured.[236]
July 20,Greensboro (3),North Carolina,1,3,4,One man was killed and three other injured.[237]
July 20,Verdigris,Oklahoma,4[n 2],0,4,"After a three-hour standoff with police, a woman and her three children were found dead in a possible murder-suicide.[238]"
July 19,Houston (7),Texas,2,2,4,Two men were killed and two others injured.[239]
July 18,Philadelphia (12),Pennsylvania,0,5,5,"Five people, including a teenage boy, were injured while attending a vigil for a homicide victim.[240]"
July 17,Columbia (2),South Carolina,1,3,4,A 17-year-old male was killed and three more were injured.[241]
July 17,Memphis (10),Tennessee,2,2,4,Two people were killed and two others were injured after an argument escalated at an apartment complex near Memphis International Airport.[242]
July 16,Chicago (15),Illinois,1,4,5,One person was killed and four others injured in a driveby shooting in the West Garfield Park neighborhood.[243]
July 16,Dallas (8),Texas,1,4,5,A woman was killed and four others injured.[244]
July 15,Hartford (2),Connecticut,2[n 5],2[n 5],4,"Two people, including a teenage girl, were killed and two people were wounded after a shootout following a home invasion and robbery.[245][246][247]"
July 15,Memphis (9),Tennessee,1,4,5,One person was killed and four were injured in the Raleigh neighborhood. Police are looking for two suspects.[248]
July 15,Hampton,Georgia,5[n 2],3,8,"Three men and one woman were killed in the Dogwood Lakes subdivision. The suspect was killed in a shootout with police the following day, with three other officers being wounded.[249]"
July 15,Munhall,Pennsylvania,1,3,4,A man was killed and three others wounded at a local bar in the early morning.[250]
July 14,Fargo,North Dakota,2[n 2],3,5,"2023 shooting of Fargo police officers: A man shot at police officers responding to an unrelated traffic collision, killing one officer and wounding two more before an officer shot and killed him. In addition, a nearby woman was struck by gunfire.[251]"
July 14,Bladensburg,Maryland,0,5,5,Five people in a car were shot from another car as they left a funeral.[252]
July 13,El Paso (3),Texas,2,4,6,Two adults were killed and four wounded after a fight at a local bar escalated shortly after midnight.[253]
July 13,Layhill,Maryland,0,4,4,Four people were wounded after a fight in a local restaurant escalated out into the parking lot shortly after midnight.[254]
July 13,East St. Louis,Illinois,1,4,5,One person was killed and four wounded in the afternoon.[255]
July 11,Dallas (7),Texas,0,6,6,Three adults and three teenagers were wounded in the evening.[256]
July 11,New York City (6),New York,0,4,4,Four people were injured near St. James Park in the Fordham neighborhood in the Bronx.[257]
July 9,Amarillo,Texas,2,5,7,Two people were killed and five wounded after an argument escalated in the early morning at a private party.[258]
July 9,Wadesboro,North Carolina,1,6,7,"One man was killed and six injured after an early morning shooting in a convenience store parking lot, during a block party.[259]"
July 9,Dubuque,Iowa,1,3,4,One person was killed and three wounded in the early morning after a disturbance between two groups.[260]
July 9,Cleveland (5),Ohio,0,9,9,Nine people were wounded in the early morning outside a local bar.[261]
July 9,Montgomery (2),Alabama,1,6,7,A teenager was found deceased and six others wounded by responding police. Two suspects were arrested shortly after.[262]
July 8,New York City (5),New York,1,3,4,"A shooter killed one individual and wounded three others in multiple shootings across Queens and Brooklyn,  in about 40 minutes.[263]"
July 8,Indio,California,1,3,4,Shortly after midnight responding officers found a man killed and three others wounded at a house party.[264]
July 8,Gary,Indiana,1,3,4,A man was killed and three others wounded in the early morning at local bar.[265]
July 8,Baltimore (10),Maryland,2,2,4,Two people were killed and two others were injured in East Baltimore after an argument escalated.[266]
July 8,Dallas (6),Texas,1,3,4,"A teenager was killed, and one adult and two other teenagers wounded at a large party.[267]"
July 7,Chicago (14),Illinois,0,5,5,Five people were injured in the Rogers Park neighborhood in a shootout involving two vehicles after an argument escalated.[268]
July 7,El Paso (2),Texas,0,8,8,"Eight people were wounded when a shooter opened fire, at a large high school house party in Upper Valley. An argument has escalated over uninvited guests.[269]"
July 5,Fort Lauderdale (1),Florida,0,5,5,Three adults and two juveniles were wounded after two groups confronted each other in an apartment complex courtyard.[270]
July 5,Lansing (2),Michigan,0,4,4,"Four people were shot in the early morning, near South Washington Square.[271]"
July 5,Wicomico County,Maryland,1,6,7,A teenager was killed and six other people injured at a block party near Salisbury.[272]
July 5,Chicago (13),Illinois,1,4,5,A man was killed and four others wounded at a large gathering in Englewood.[273]
July 5,Cleveland (4),Ohio,2,2,4,"Shortly after midnight two adults were killed and two wounded, after a large crowd had gathered to light fireworks.[274]"
July 5,Washington (5),District of Columbia,0,9,9,"Nine people, including two children, were wounded on a city street during Independence Day celebrations.[275]"
July 5,Boston (1),Massachusetts,0,5,5,Five people were wounded in the Mattapan neighborhood.[276]
July 5,Paterson (2),New Jersey,2,3,5,"Responding officers found a deceased adult and teenager, with three other victims arriving at local hospitals.[277]"
July 5,Flint,Michigan,0,4,4,Four adults were wounded in and around a parked vehicle after shooters opened fire at the car in the afternoon.[278]
July 4,Edgewood,Maryland,0,4,4,Two adults and two teenagers were wounded after a physical altercation escalated. All of the wounded were believed to be gang members or associates.[279]
