2024 date,Location,State or territory,Dead,Injured,Total,Description
October 26,Fresno (2),California,0,6,6,Six men were shot in the Mural District of Downtown Fresno.[54]
October 26,McKees Rocks,Pennsylvania,1,3,4,A man was killed and three others were injured when at least two people opened fire.[55]
October 24,Waco,Texas,0,4,4,A late night shooting injured four people in the Brook Oaks neighborhood.[56]
October 23,Montgomery (4),Alabama,1,4,5,"Five people, including two children, were injured in a shooting at an apartment complex in southeast Montgomery. One of the wounded died six days later.[57]"
October 21,King County,Washington,5,1,6,A 15-year-old boy fatally shot three of his siblings and his parents at their home west of Snoqualmie. One of his sisters survived by playing dead after being shot before escaping through a window.[58]
October 20,Jackson (2),Tennessee,1,8,9,One person was killed and eight others were injured in a shooting at a party.[59]
October 20,Baton Rouge (3),Louisiana,1,5,6,A shooting in a parking lot of a nightclub hosting a concert killed a man and injured five others.[60]
October 19,Fort Wayne (2),Indiana,1[n 1],9,10,"Nine people, mostly teenagers, were injured when a teenager opened fire at a high school party after being refused entry. One of the injured returned fire, killing the shooter.[61]"
October 19,Albany (3),Georgia,1,4,5,"A teenager was killed and four others, including a teenage girl, were injured in a shooting on the campus of Albany State University during a homecoming celebration.[62]"
October 19,Holmes County,Mississippi,3,8,11,"During a celebration at an outdoor trail north of Lexington following a high school football game, an argument between two young men escalated, killing three, including two teenagers, and injuring eight others.[63][64]"
October 19,Philadelphia (14),Pennsylvania,0,7,7,"An argument at an 'Instagram' party escalated into a shooting that left seven people injured, including a teenage girl, near Fotterall Square in the Hartranft neighborhood in the city's north side.[65]"
October 14,Detroit (7),Michigan,1,3,4,An argument among a group of men in the MorningSide neighborhood on the city's east side escalated into a shooting that killed one and injured three others.[66]
October 12,Elbert County,Georgia,1,7,8,"A teenager was killed and seven others, mostly other teenagers, were injured in a shooting at a nightclub near Elberton.[67]"
October 12,East Cleveland,Ohio,1,4,5,One person was killed and four others were injured after an altercation at an unauthorized bar escalated.[68]
October 12,Nashville (7),Tennessee,1,9,10,One person was killed and nine others were injured when two groups exchanged gunfire near Tennessee State University's homecoming game.[69]
October 12,Oklahoma City (5),Oklahoma,1,14,15,An argument at a Halloween party that escalated into a shooting killed a person and wounded fourteen others in the city's southwest side.[70]
October 11,Newberry,South Carolina,0,4,4,Four people were injured in a shooting at a private party.[71]
October 9,Kansas City (8),Missouri,0,5,5,Four adult men and one teenage male were shot in the Westport area.[72]
October 6,Fort Worth (3),Texas,1,4,5,A teenager was killed in a shooting in the North Side neighborhood while out celebrating his birthday. Four others were injured.[73]
October 5,Oklahoma City (4),Oklahoma,0,4,4,An argument that escalated into a shooting injured four people in the Bricktown area of Downtown Oklahoma City.[74]
October 4,Redding,California,2,3,5,Two men were killed and three others were injured in a shooting at a shopping center overnight in the Westwood neighborhood.[75]
September 29,Houston (5),Texas,0,4,4,"Four people, including a security guard, were injured when a fight escalated into a shooting at a nightclub in the Briarmeadow neighborhood.[76]"
September 29,Gresham Park,Georgia,1,3,4,An apparent dispute over a choice in music led to an attempted robbery and a shooting that killed a man and injured three other men.[77]
September 29,Danville,Virginia,1,3,4,A man was killed and three others were injured in an early morning shooting at a restaurant.[78]
September 28,Henderson,North Carolina,0,5,5,"A fight during a party at a venue escalated into a shooting when two people opened fire on each other, striking five.[79]"
September 28,Washington (13),District of Columbia,1,3,4,A man was killed and three others were injured in the Woodland neighborhood of Southeast DC.[80]
September 27,Merrydale,Louisiana,3,2[n 2],5,"A dispute led to two teenagers opening fire outside an apartment complex, killing three people. One of the victims returned fire and wounded both suspects.[81]"
September 27,Shreveport (2),Louisiana,0,4,4,"A man opened fire with a rifle at a gathering at an apartment complex in the Mooretown neighborhood, wounding four, including a baby.[82]"
September 27,Spartanburg County,South Carolina,3,1,4,"Four people were shot, three fatally, over a dispute over who had the rights to hunt on a particular piece of land south of Woodruff.[83]"
September 26,Chicago (25),Illinois,0,4,4,"Multiple shooters from a vehicle opened fire at a group of men walking, wounding four near a music studio in the Irving Park neighborhood on the northwest side.[84]"
September 25,Los Angeles (5),California,0,6,6,"Three people opened fire in the Vermont Knolls neighborhood of South Los Angeles, wounding six.[85]"
September 21,Chicago (24),Illinois,1,6,7,"During a prayer vigil at a home, a person pulled up in their vehicle in front of the residence and then opened fire, killing a man and injuring six others in the Little Village neighborhood on the city's west side.[86]"
September 21,Birmingham (6),Alabama,4,17,21,September 2024 Birmingham shooting: Four people were killed and seventeen others were wounded when multiple people drove up to a hookah bar and exited their vehicles to open fire on a line of queued people in what is suspected to be a murder-for-hire motivated attack.[87]
September 21,New York City (9),New York,0,6,6,Six people were shot near the border of the Greenpoint and East Williamsburg neighborhoods in Brooklyn.[88]
September 21,Minneapolis (6),Minnesota,2,3,5,"Two men were killed and three others, including two teenage girls, were injured in a shooting following a fight in the Downtown West area.[89]"
September 20,Philadelphia (13),Pennsylvania,1,3,4,One person was killed and three others were injured in the Elmwood Park neighborhood on the southwest side.[90]
September 20,Phoenix,Arizona,1,3,4,"A teenage boy was killed and three others, including two other teenagers, were wounded in the area between the Garfield and Eastlake Park neighborhoods of Central Phoenix.[91]"
September 18,Minneapolis (5),Minnesota,2,3,5,Two people were killed and three injured in a series of shootings at homeless camps. A Native Mob member was arrested for the shootings.[92]
September 18,St. Louis (7),Missouri,3,1,4,An exchange of fire between two people in the Academy neighborhood in North St. Louis killed three people and wounded one other person.[93]
September 16,Chicago (23),Illinois,0,4,4,"Four people, including a 13-year-old girl, were wounded when shots were fired into a fitness studio in the Back of the Yards neighborhood on the city's south side.[94]"
September 15,St. Louis County,Missouri,0,4,4,Four men were shot in a neighborhood north of Florissant.[95]
September 15,New York City (8),New York,0,4,4,"Several NYPD officers fired shots into a crowd at an allegedly knife-wielding fare evader at the Sutter Avenue station in Brooklyn, striking the suspect, one officer, and two bystanders.[96][97][98] Footage later revealed the fare evader was standing still with his arms by his side when police opened fire.[99]"
September 14,Selma,Alabama,0,4,4,Four people were wounded on the city's east side.[100]
September 14,Louisville (7),Kentucky,0,4,4,Four men were shot at a gas station in the Portland neighborhood on the city's northeast side.[101]
September 14,Houston (4),Texas,3,8,11,A drive-by shooting during a block party in the Houston Gardens neighborhood on the city's northeast side killed three and injured eight during the early morning hours.[102]
September 13,Alexandria (2),Louisiana,2[n 1],2,4,"A man shot three relatives, killing one, before taking his own life at the nail salon he owned.[103]"
September 13,Nashville (6),Tennessee,3,1,4,Three men were fatally shot at a home in the Colemont neighborhood. A bicyclist who was riding by at the time of the killings was shot in the hip by a stray bullet.[104]
September 12,Cleveland (4),Ohio,2[n 1],2,4,A man arrived at a home in the Old Brooklyn neighborhood and began arguing with a woman who he fatally shot before injuring two others. The man then fled the scene and was chased by police before he committed suicide.[105]
September 12,Suffolk,Virginia,2,3,5,Two men were killed and three others were injured at a business.[106]
September 7,Amarillo,Texas,4[n 1],0,4,A man killed his wife and two children before turning the gun on himself.[107]
September 7,Miami Gardens (2),Florida,0,5,5,An argument between two people at a fraternity center for Florida Memorial University escalated into a shooting that wounded five.[108]
September 7,Ellport,Pennsylvania,1,4,5,A man returned to a bar after being asked to leave and opened fire before driving down the road and firing into several other homes and businesses before he was arrested. One woman was killed and four others were injured.[109]
September 7,Laurel County,Kentucky,1[n 1],5,6,"Interstate 75 Kentucky shooting: A man opened fire on the northbound and southbound lanes of Interstate 75 near exit 49 northwest of London from a cliff ledge, striking twelve vehicles and wounding five people, before fleeing the scene and prompting a manhunt and causing multiple schools, businesses, and churches to close in the county and surrounding counties. Three others were injured as a result of vehicular accidents caused by the attack.[110][111] Police said they found the suspect dead close by on September 18.[112]"
September 6,Washington (12),District of Columbia,0,5,5,Five people were shot in the Washington Highlands neighborhood of Southeast DC.[113]
September 5,Saraland,Alabama,0,4,4,"At least two people driving on Interstate 65 in Saraland opened fire on each other, resulting in three people being wounded in one vehicle and a fourth being injured in the other.[114]"
September 5,Milwaukee (8),Wisconsin,0,4[n 1],4,"Three police officers were shot and injured attempting trying to serve a warrant at an apartment building near Timmerman Airport. The suspect, who was also shot, was later arrested.[115]"
September 4,Barrow County,Georgia,4,7,11,"2024 Apalachee High School shooting: A student opened fire at Apalachee High School, located southwest of Winder, killing two students and two teachers, and wounding six other students and another teacher. Two other students sustained non-gunshot injuries. The shooter surrendered immediately upon being confronted by responding police.[116][117] He was charged with four counts of felony murder. The father, who gave him the weapon, was charged with four counts of involuntary manslaughter, two counts of second degree murder, and eight counts of cruelty to children.[118]"
September 3,West Haven,Utah,4[n 1],0,4,A woman and her three children were found dead inside a vehicle after police responded to a report of a suspected homicide near the house. Officials later stated the woman had killed the three children and herself.[119]
September 2,Newark,New Jersey,0,4,4,"A man stole a car from East Orange and then drove to the Clinton Hill neighborhood of Newark where he opened fire, striking four people. The stolen vehicle was later found on fire in the south part of the neighborhood.[120]"
September 2,Bessemer,Alabama,0,4,4,A shooting during a candlelight vigil for a fatal shooting that killed three men at a Citgo gas station injured four people.[121]
September 2,"Seattle (2), Federal Way, Tukwila, & Fife",Washington,0,5,5,"A man went on a shooting spree along Interstate 5 across King and Pierce counties, wounding five in six different shooting attacks in a two and a half hour timespan.[122]"
September 2,Birmingham (5),Alabama,1,3,4,One person was killed and three others were injured when someone broke down the door of the apartment they were playing cards in and opened fire in the Titusville neighborhood. The attack was believed to be robbery-motivated.[123]
September 2,New York City (7),New York,1,4,5,"During the annual West Indian Day Parade, a dispute escalated into a shooting that left five people wounded in the Crown Heights neighborhood of Brooklyn. One of the wounded later died.[124]"
September 2,Nashville (5),Tennessee,0,5,5,Five people were injured in a late night shooting at a nightclub in the Antioch neighborhood on the city's southeast side.[125]
September 2,Oak Park,Illinois,4,0,4,2024 Chicago train shooting: Four people were fatally shot on a Blue Line train between Oak Park and Harlem stations in the Oak Park area. The suspect was later located and arrested at the California station on the Pink Line in Chicago. The attack caused the Blue Line to be shut down between the Forest Park and Austin stations.[126]
September 1,St. Louis (6),Missouri,0,5,5,Five people were injured in a shooting in Downtown West. One woman suffered a gunshot wound while four others suffered wounds from bullet fragments.[127]
September 1,Bullard,Texas,3,1,4,A mother and her three children were shot at their home. A baby survived with a severe gunshot wound to the face.[128]
September 1,Cleveland (3),Ohio,0,4,4,Four people were shot in the east side during a dispute over stolen property.[129]
September 1,Milford,Delaware,0,4,4,Police responding to reports of shots fired found four people suffering from gunshot wounds.[130]
September 1,Dayton (3),Ohio,0,4,4,Four people were injured in an early morning shooting.[131]
September 1,New Orleans (4),Louisiana,1,4,5,"Following a fight at a bar, a group of five women were driving away when they were fired upon in Mid-City, causing a roll-over crash. One woman was killed and the four others were injured.[132]"
August 31,Waianae (2),Hawaii,4[n 1],2,6,"A man rammed his tractor into several vehicles outside his neighbor's residence where a party was being held, then shot into the tractor's fuel drums and into the home's carport and at fleeing partygoers, killing three and injuring two others, before he was fatally shot by the homeowner.[133]"
August 31,Albuquerque (1),New Mexico,4[n 1],0,4,Four people at an apartment were drinking together throughout the day in the Near North Valley area. During the late evening an argument escalated into a shooting in which a man shot and killed the three he had been drinking with before fatally shooting himself.[134]
August 30,Euclid (2),Ohio,1,4,5,A teenager was killed and four other teenagers were injured in a shooting near the campus of Euclid High School following a high school football game.[135]
August 30,Burnsville (2),Minnesota,0,5,5,Five teenagers were shot in a sports park during the evening hours.[136]
August 29,Dallas (6),Texas,2[n 1],2,4,"A man sought out a police officer and fatally shot him as he sat in his patrol car in a parking lot in Cedar Crest (near Oak Cliff). Officers responded after hearing gunshots over the fallen officer's radio and were fired upon by the man, with two officers being struck by gunfire. The man then fled north along Interstate 35E before he was stopped by pursuing police officers 40 miles away in Lewisville where he was fatally shot after an exchange of gunfire.[137]"
August 29,Tulare,California,0,4,4,Four men were shot during the evening hours in a residential area.[138]
August 27,Philadelphia (12),Pennsylvania,0,4,4,Three men and a woman were shot in the Kensington neighborhood on the northeast side.[139]
August 25,Warner Robins,Georgia,0,4,4,A drive-by shooting during a house party wounded a man and three women.[140]
August 25,Sioux Falls (2),South Dakota,1,3,4,A man was killed and three other men were injured in a shooting at Dunham Park.[141]
August 25,Allentown (2),Pennsylvania,0,8,8,"A man fired at another group during a Dominican Festival in Downtown Allentown, resulting in a shootout that injured eight people.[142]"
August 25,Lubbock County,Texas,1,5,6,One person was killed and five others were injured in a shooting south of Lubbock.[143]
August 25,Syosset,New York,5[n 1],0,5,A man fatally shot himself outside the home of his recently deceased mother after shooting and killing three of his siblings and a niece inside the home. They had gathered at the home for the funeral and planned to sell the estate.[144]
August 25,Mobile (3),Alabama,0,6,6,Six people were shot shortly after midnight in the Africatown neighborhood.[145]
August 24,Chester (2),Pennsylvania,1,3,4,One person was killed and three others were injured in a shooting at an intersection.[146]
August 24,Whitfield County,Georgia,4,0,4,A 16-year-old boy fatally shot four men at a sports park north of Dalton in what was believed to be a robbery-motivated attack.[147]
August 22,Houston (3),Texas,0,4,4,"Three masked people fired into a home in the Eastwood neighborhood, striking three teenagers and a young child, before fleeing.[148]"
August 22,Milwaukee (7),Wisconsin,1,3,4,"A man was killed and three other men, including a security guard, were injured in an early morning shooting at a north side bar in the Washington Park neighborhood.[149]"
August 21,Philadelphia (11),Pennsylvania,0,4,4,"Two people ran across a storefront area and opened fire, injuring four men in the process, in the Haverford North neighborhood on the west side.[150]"
August 20,Jackson (5),Mississippi,0,6,6,"Six people, including a three-year-old girl, were shot in a drive-by shooting in the Belhaven neighborhood.[151]"
August 20,Everett,Washington,0,4,4,Four people were shot overnight in the Westmont neighborhood.[152]
August 20,Chicago (22),Illinois,1,5,6,"Two people opened fire in the Back of the Yards neighborhood on the south side, killing a man and injuring five other men, including a man who was driving by at the time of the attack.[153]"
August 19,Elizabethtown,Kentucky,3[n 1],1,4,A man killed two people and wounded one other outside the Hardin County courthouse and later shot and wounded himself after a police chase. The suspect later died at a hospital.[154]
August 18,Oklahoma City (3),Oklahoma,0,4,4,Four people were wounded when a person opened fire into a group of people in the Bricktown area of Downtown Oklahoma City. Two officers fired at the suspect before they eventually surrendered.[155]
August 18,Baltimore (3),Maryland,1,7,8,A man was killed and seven others were injured in a shooting at a gathering in the Oliver neighborhood.[156]
August 18,Boston (2),Massachusetts,0,5,5,Five people were shot at Franklin Park on the outskirts of the Dominican Festival.[157]
August 18,Minneapolis (4),Minnesota,0,4,4,"A group of five children stole a vehicle and were followed by another vehicle. After some time at least one occupant in the other vehicle opened fire in the Jordan neighborhood, striking four of the children. Two of the children had been arrested less than two weeks prior for stealing another vehicle.[158]"
August 17,Oakland (3),California,2,2,4,A crowded argument escalated into a shooting that killed two people and wounded two others in the city's east side.[159]
August 17,Jackson (4),Mississippi,1,5,6,An early morning shooting at a bar in Downtown Jackson killed one and injured five others.[160]
August 16,Memphis (9),Tennessee,0,4,4,A man shot four others outside a Midtown restaurant after arguing about a parking spot.[161]
August 14,Colorado Springs,Colorado,1,3,4,One person was killed and three people were injured in a shooting at the Sandcreek Commons Condos.[162]
August 14,Waianae (1),Hawaii,1[n 1],3,4,"A man chased a woman into a neighbor's home as a result of a domestic incident and began firing into the home, striking three people inside, before he was fatally shot by responding police.[163]"
August 14,Ettrick,Virginia,0,4,4,Four people were injured in an on-campus shooting at Virginia State University. None of the victims or suspects are students of the school.[164]
August 12,Indianapolis (7),Indiana,2[n 1],2,4,A man killed one person and wounded two adolescents before taking his own life.[165]
August 12,Lawrence,Massachusetts,1,3,4,"A man opened fire on his ex-girlfriend, her sister and brother, and her friend after he broke into their apartment. The man wounded his ex-girlfriend and her siblings and fatally shot her friend when he attempted to disarm him in a struggle.[166]"
August 12,Chicago (21),Illinois,0,4,4,Four people were injured in a shooting at a Near West Side club after an argument escalated.[167]
August 11,Tucson (2),Arizona,0,4,4,Four people were injured in a shooting.[168]
August 11,Sharpsburg,North Carolina,3[n 1],2,5,A man killed a woman and a six-year-old child while wounding two others before taking his own life in a domestic-related incident.[169]
August 10,Cleveland (2),Ohio,0,4,4,Four people were injured in a shooting at a car meet at the Lee Harvard Shopping Center in the Lee–Miles neighborhood.[170]
August 10,Jacksonville (2),Florida,0,6,6,Six people were shot outside of a pop-up nightclub in the Brentwood neighborhood.[171]
August 10,Atlanta (5),Georgia,0,5,5,"A shooting at an event left five people wounded, including three teens, near a park on the city's southwest side in the Mechanicsville neighborhood.[172]"
August 9,Dallas (5),Texas,0,4,4,Four people were injured in a shooting at Far North Dallas.[173]
August 9,Charlotte (6),North Carolina,0,4,4,A shooting at a Shell gas station injured four people on the city's south side in the Montclaire South neighborhood.[174]
August 9,Lexington,Kentucky,1,5,6,One person was killed and five others were injured in an overnight shooting.[175]
August 8,Birmingham (4),Alabama,2,2,4,"A man opened fire at two homes in the West End Manor neighborhood, killing two and injuring two others, in a domestic-related incident.[176]"
August 7,New York City (6),New York,0,6,6,Six men were injured near St. James Park when two other men pulled up on scooters and opened fire in the Fordham neighborhood of The Bronx.[177]
August 6,Morgan County,West Virginia,0,4,4,A fight at a house party at a home east of Berkeley Springs led to a shooting that wounded four.[178]
August 5,Seattle (1),Washington,0,4,4,A drive-by shooting on the edge of Downtown Seattle in Capitol Hill injured four people. One of the victims crashed his vehicle into the Swedish First Hill hospital while fleeing the scene.[179]
August 5,Beechwood,Mississippi,1,3,4,A teenager killed another teenager and injured three other people after a dispute over a stolen cell phone east of Vicksburg.[180]
August 5,Kansas City (7),Missouri,1,5,6,One person was killed and five others were injured after an argument escalated into a shootout at a gathering in the city's south side.[181]
August 4,Oakland (2),California,0,5,5,A shooting during a sideshow injured five in the Dimond District neighborhood on the city's east side.[182]
August 4,Memphis (8),Tennessee,0,4,4,Three women and a man were injured when four men opened fire on them outside a nightclub on the city's northeast side.[183]
August 4,Chicago (20),Illinois,0,5,5,Five men were shot in the Washington Park neighborhood in the city's south side. The five shooting victims were uncooperative with responding police.[184]
August 4,Chicago (19),Illinois,1,3,4,A man was killed and three others were injured in a shooting outside a restaurant in Chinatown on the city's south side.[184]
August 4,Tulsa,Oklahoma,0,8,8,Eight people were injured in an early morning shooting in the city's north side.[185]
August 3,Springfield,Ohio,0,5,5,Five people were injured in a shooting attack southeast of downtown Springfield. Multiple vehicles were shot during the attack.[186]
August 3,Washington (11),District of Columbia,2,2,4,Two people were killed and two were injured in a shooting in the NoMa neighborhood of Northeast DC.[187]
August 3,Milwaukee (6),Wisconsin,0,5,5,Five people were shot outside of a bar in the city's north side in the Williamsburg neighborhood.[188]
August 2,Charlotte (5),North Carolina,1,3,4,One person was killed and three others were injured in the city's east side near the Charlotte Museum of History.[189]
August 2,Lake County,Florida,4[n 2],2,6,"A woman called law enforcement for a well-being check on a nearby home east of Umatilla and when officers arrived it appeared that a home had been burglarized, and they ordered people they heard inside to come out. When the officers made entry they were fired upon by the woman's husband and two daughters. All three attackers and one of the deputies were killed, while two other deputies sustained gunshot wounds. The woman who called 911 was later arrested and charged with premeditated murder.[190][191]"
August 1,Aurora,Colorado,1,3,4,One person was killed and three others were injured in an afternoon shooting.[192]
July 30,South Fulton,Georgia,1,3,4,A shooting at a Shell gas station left one dead and three others injured.[193]
July 29,Portland,Maine,1,3,4,"Four people were shot, one fatally, in the parking lot of an auto repair shop in the North Deering neighborhood.[194]"
July 28,Auburn,Washington,0,4,4,"A group of four masked men opened fire on another group exiting a bus at a bus stop, injuring four, in what is believed to be a targeted attack. One of the victims in the group returned fire.[195]"
July 28,South Bend (2),Indiana,0,4,4,Four people were injured in the city's northeast side.[196]
July 28,St. Louis (5),Missouri,1,3,4,A woman was killed and three others were injured in a shooting at a restaurant in the Tower Grove East neighborhood on the city's south side.[197]
July 28,Escambia County,Florida,2,5,7,A drive-by shooting at a community center northwest of Brent where a basketball game was being held killed two people and injured five others.[198]
July 28,Los Angeles (4),California,0,4,4,"Four people, including a 14-year-old boy, were wounded in a drive-by shooting in the South Park neighborhood of South Los Angeles.[199]"
July 28,Rochester (2),New York,2,5,7,Two people were killed and five others were injured in a shooting in Maplewood Park in the Maplewood Historic District.[200]
July 28,Milwaukee (5),Wisconsin,0,5,5,Five teenagers were shot in the city's northwest side.[201]
July 28,Champaign,Illinois,2,2,4,"Three teenagers and a woman were shot in an apartment complex parking lot, with two of the teens being killed.[202]"
July 27,Dallas (4),Texas,0,5,5,"Three shooters opened fire at a gas station, wounding five, in the city's south side.[203]"
July 26,Kankakee,Illinois,0,6,6,A fight at a birthday party among a group of adults and juveniles at Pioneer Park escalated into a shooting that wounded six.[204]
July 25,Jeanerette,Louisiana,1,3,4,"A Lafayette police SWAT team member was killed and three others were wounded in a shootout during a hostage situation, in which a man wanted for a drive-by shooting barricaded himself inside a home with two others, including a juvenile.[205]"
July 24,Yancey County,North Carolina,0,4[n 1],4,Three people were injured when a man opened fire on a tree trimming crew. The suspect was shot by police before being taken into custody.[206]
July 23,Burton,South Carolina,0,4,4,Four people were shot inside a vehicle when they were fired upon by at least one other person inside another vehicle.[207]
July 22,Milwaukee (4),Wisconsin,1,8,9,A shooting in a Dineen Park parking lot left a teenage girl dead and eight others wounded.[208]
July 21,Anderson,Indiana,0,7,7,"A shooting at a block party injured seven people, including two teenagers.[209]"
July 21,Jackson (3),Mississippi,2,4,6,"A shooting at a Shell gas station killed two, including the owner, and injured four others.[210]"
July 21,Indianola,Mississippi,3[n 2],16,19,"Three men, including two suspects, were killed and sixteen people wounded in a shooting near a club.[211][212]"
July 21,Philadelphia (10),Pennsylvania,3,6[n 1],9,"An altercation at a block party escalated into a gunfight that killed three people and injured six others, including one of the shooters in the Carroll Park neighborhood of the city's west side.[213][214]"
July 20,Vista,California,1,3,4,A shooting killed a young man and injured three others.[215]
July 19,Broken Arrow,Oklahoma,4[n 1],0,4,"A man killed his brother, grandfather and aunt before committing suicide.[216]"
July 18,Bibb County,Alabama,5,0,5,A man killed his wife and four children north of West Blocton.[217]
July 18,Washington (10),District of Columbia,2,2,4,"Three suspects opened fire with rifles in an intersection in the Shipley Terrace neighborhood of southeast DC, killing two men and injuring two others, including a two-year-old girl.[218]"
July 18,Los Angeles (3),California,0,4,4,"Two suspects opened fire near a taco stand in the Westlake neighborhood, injuring one intended target and three others.[219]"
July 15,Orange (2),Texas,0,4,4,Four people were injured in a shooting on the city's east side.[220]
